DeviceID, ThreadID, FunctionName, StartTime_ns, EndTime_ns
ehp-cpu0, 20702, NA, 0, 897434
ehp-cpu0, 20702, NA, 897434, 950110
ehp-cpu0, 20702, NA, 950110, 974799
ehp-cpu0, 20702, NA, 974799, 999466
ehp-cpu0, 20702, NA, 999466, 1839092
ehp-cpu0, 20702, NA, 1839092, 1863803
ehp-cpu0, 20702, NA, 1863803, 1888525
ehp-cpu0, 20702, NA, 1888525, 1913258
ehp-cpu0, 20702, NA, 1913258, 2079897
ehp-cpu0, 20702, NA, 2079897, 2104553
ehp-cpu0, 20702, NA, 2104553, 2129242
ehp-cpu0, 20702, NA, 2129242, 2153920
ehp-cpu0, 20702, NA, 2153920, 2659831
ehp-cpu0, 20702, NA, 2659831, 2684509
ehp-cpu0, 20702, NA, 2684509, 2709231
ehp-cpu0, 20702, NA, 2709231, 2733920
ehp-cpu0, 20702, NA, 2733920, 3294600
ehp-cpu0, 20702, NA, 3294600, 3371061
ehp-cpu0, 20702, NA, 3371061, 3727855
ehp-cpu0, 20702, NA, 3727855, 3752655
ehp-cpu0, 20702, NA, 3752655, 4474731
ehp-cpu0, 20702, NA, 4474731, 4499409
ehp-cpu0, 20702, NA, 4499409, 4524087
ehp-cpu0, 20702, NA, 4524087, 4548754
ehp-cpu0, 20702, NA, 4548754, 5282961
ehp-cpu0, 20702, NA, 5282961, 5307606
ehp-cpu0, 20702, NA, 5307606, 5332295
ehp-cpu0, 20702, NA, 5332295, 5356984
ehp-cpu0, 20702, NA, 5356984, 5494213
ehp-cpu0, 20702, NA, 5494213, 5518891
ehp-cpu0, 20702, NA, 5518891, 5543547
ehp-cpu0, 20702, NA, 5543547, 5568236
ehp-cpu0, 20702, NA, 5568236, 6016927
ehp-cpu0, 20702, NA, 6016927, 6041616
ehp-cpu0, 20702, NA, 6041616, 6066305
ehp-cpu0, 20702, NA, 6066305, 6090994
ehp-cpu0, 20702, NA, 6090994, 6246056
ehp-cpu0, 20702, NA, 6246056, 6270834
ehp-cpu0, 20702, NA, 6270834, 6628499
ehp-cpu0, 20702, NA, 6628499, 6653288
ehp-cpu0, 20702, NA, 6653288, 7490421
ehp-cpu0, 20702, NA, 7490421, 7515066
