Exec_Order, ThreadId, elapsed_us, elapsed_uc, COMMIT_CYC, INSTRUCTIONS, CLOCK_CYC, L2_CACHE_MISS
1, 23839, 36, 129200, 9438, 23625, 112082, 637 
2, 23839, 3, 7600, 406, 721, 12208, 95 
3, 23839, 1, 3800, 357, 721, 3879, 13 
4, 23839, 1, 3800, 353, 721, 4719, 7 
5, 23839, 29, 110200, 4178, 8434, 73721, 1474 
6, 23839, 1, 3800, 354, 719, 3475, 0 
7, 23839, 1, 3800, 348, 719, 3157, 1 
8, 23839, 1, 0, 347, 719, 3383, 0 
9, 23839, 8, 30400, 3003, 6510, 26846, 154 
10, 23839, 0, 3800, 352, 721, 3187, 4 
11, 23839, 1, 3800, 352, 721, 3189, 2 
12, 23839, 1, 3800, 354, 721, 3701, 3 
13, 23839, 18, 68400, 3352, 6287, 37474, 68 
14, 23839, 1, 0, 348, 719, 2713, 5 
15, 23839, 0, 3800, 345, 719, 2860, 2 
16, 23839, 1, 3800, 344, 719, 2931, 0 
17, 23839, 19, 76000, 11620, 33232, 72510, 278 
18, 23839, 1, 3800, 355, 721, 3561, 4 
19, 23839, 4, 15200, 463, 943, 5980, 11 
20, 23839, 1, 0, 350, 719, 3153, 0 
21, 23839, 7, 26600, 2566, 5866, 24296, 95 
22, 23839, 2, 7600, 836, 1922, 13276, 85 
1, 23841, 4182, 15895400, 1673039, 4719132, 8342062, 34893 
23, 23839, 9, 34200, 405, 688, 10123, 93 
24, 23839, 1, 3800, 343, 704, 3114, 8 
1, 23842, 3457, 13140400, 1384897, 3778178, 6454492, 36091 
25, 23839, 14, 57000, 1310, 2164, 50987, 518 
26, 23839, 1, 3800, 342, 704, 3042, 10 
1, 23843, 2776, 10548800, 1364936, 3733498, 5747351, 32100 
27, 23839, 30, 114000, 4835, 10254, 78865, 714 
28, 23839, 1, 3800, 359, 721, 3411, 6 
29, 23839, 1, 0, 353, 721, 3088, 2 
30, 23839, 1, 3800, 356, 721, 3169, 3 
31, 23839, 33, 125400, 3371, 6287, 60240, 1414 
32, 23839, 1, 0, 353, 719, 3279, 3 
33, 23839, 1, 3800, 349, 719, 3005, 0 
34, 23839, 1, 0, 350, 719, 3245, 0 
35, 23839, 6, 22800, 2956, 6715, 20708, 53 
36, 23839, 1, 3800, 354, 721, 3641, 4 
37, 23839, 1, 3800, 353, 721, 3125, 2 
38, 23839, 1, 3800, 356, 721, 3339, 4 
39, 23839, 16, 57000, 3353, 6287, 32485, 19 
40, 23839, 1, 0, 350, 719, 3186, 0 
41, 23839, 1, 3800, 350, 719, 3157, 0 
42, 23839, 1, 3800, 351, 719, 3112, 0 
43, 23839, 9, 34200, 7381, 19588, 33886, 119 
44, 23839, 2, 3800, 355, 721, 3745, 2 
45, 23839, 4, 11400, 457, 943, 6577, 11 
46, 23839, 1, 0, 348, 719, 3247, 0 
47, 23839, 5, 15200, 1999, 4430, 16686, 47 
48, 23839, 1, 3800, 345, 704, 2678, 3 
1, 23844, 2831, 10757800, 1020856, 2480126, 5302680, 23786 
49, 23839, 2, 7600, 404, 687, 8671, 87 
50, 23839, 1, 3800, 343, 704, 3359, 8 
1, 23845, 3314, 12589400, 1033403, 2500765, 5813740, 32674 
51, 23839, 15, 57000, 1266, 2067, 53768, 501 
52, 23839, 1, 3800, 343, 704, 3424, 9 
1, 23846, 2460, 9351800, 1013535, 2462078, 5007984, 27126 
53, 23839, 26, 98800, 4464, 9582, 70446, 588 
54, 23839, 1, 3800, 360, 721, 3626, 8 
55, 23839, 1, 0, 353, 721, 3464, 5 
56, 23839, 1, 3800, 356, 721, 3233, 5 
57, 23839, 25, 95000, 3360, 6287, 61110, 1398 
58, 23839, 1, 3800, 354, 719, 3311, 1 
59, 23839, 1, 3800, 348, 719, 2983, 0 
60, 23839, 1, 3800, 350, 719, 3115, 1 
61, 23839, 6, 22800, 3030, 6899, 22184, 68 
62, 23839, 1, 3800, 354, 721, 3514, 2 
63, 23839, 1, 0, 354, 721, 3139, 2 
64, 23839, 1, 3800, 349, 721, 3282, 4 
