#ProfileFileVersion=2.6
#ProfilerVersion=2.6.2153
#Application=/home/lifxu/Desktop/github/PIM/SPGK/spk.exe
#ApplicationArgs=-directory /home/lifxu/Desktop/github/personal/graph_gen/output -platform 1 -gk 0 -option 5 -vertex 0 -gauss 0.1
#Device AMD A10-5800K APU with Radeon(tm) HD Graphics   Platform Vendor=Advanced Micro Devices, Inc.
#Device AMD A10-5800K APU with Radeon(tm) HD Graphics   Platform Name=AMD Accelerated Parallel Processing
#Device AMD A10-5800K APU with Radeon(tm) HD Graphics   Platform Version=OpenCL 1.2 AMD-APP (1124.2)
#Device AMD A10-5800K APU with Radeon(tm) HD Graphics   CLDriver Version=1124.2 (sse2,avx,fma4)
#Device AMD A10-5800K APU with Radeon(tm) HD Graphics   CLRuntime Version=OpenCL 1.2 AMD-APP (1124.2)
#Device AMD A10-5800K APU with Radeon(tm) HD Graphics   NumberAppAddressBits=64
#Device Tahiti Platform Vendor=Advanced Micro Devices, Inc.
#Device Tahiti Platform Name=AMD Accelerated Parallel Processing
#Device Tahiti Platform Version=OpenCL 1.2 AMD-APP (1124.2)
#Device Tahiti CLDriver Version=1124.2 (VM)
#Device Tahiti CLRuntime Version=OpenCL 1.2 AMD-APP (1124.2)
#Device Tahiti NumberAppAddressBits=32
#OS Version=CentOS release 6.4 (Final)
#DisplayName=
#ListSeparator=,
Method, ExecutionOrder, ThreadID, CallIndex, GlobalWorkSize, WorkGroupSize, Time, LocalMemSize, VGPRs, SGPRs, ScratchRegs, FCStacks, Wavefronts, VALUInsts, SALUInsts, VFetchInsts, SFetchInsts, VWriteInsts, LDSInsts, VALUUtilization, VALUBusy, SALUBusy, FetchSize, CacheHit, MemUnitBusy, MemUnitStalled, WriteUnitStalled, LDSBankConflict, WriteSize, GDSInsts
vertex_gauss_multiplim_3__k1_Tahiti1, 1, 2447, 0, {     64      64       1}, {   16    16     1},         0.05244, 0, 18, 28, 0, NA,        64.00,       106.69,         8.06,         4.88,        13.25,         0.81,         0.00,        77.75,         3.08,         0.24,         4.31,        70.76,         4.01,         0.24,         0.00,         0.00,         0.00,         0.00
edge_kernel_multipim_3__k2_Tahiti1, 2, 2448, 0, {   1280       1       1}, {  128     1     1},         7.32193, 0, 17, 52, 0, NA,        20.00,     53924.00,     14705.00,     12255.00,        25.00,         1.00,         0.00,        95.70,         2.39,         0.84,        78.81,        99.12,        16.14,         0.00,         0.00,         0.00,         0.00,         0.00
reduce__k3_Tahiti1, 3, 2449, 0, {   1280       1       1}, {  128     1     1},         0.02118, 1024, 8, 16, 0, NA,        20.00,        43.50,        52.50,         1.00,         8.50,         0.50,        24.00,        53.14,         0.33,         0.75,        10.31,        27.39,         0.85,         0.02,         0.00,         0.02,         0.00,         0.00
vertex_gauss_multiplim_3__k1_Tahiti1, 4, 2450, 0, {     64      64       1}, {   16    16     1},         0.02163, 0, 18, 28, 0, NA,        64.00,       106.69,         8.06,         4.88,        13.25,         0.81,         0.00,        77.75,         3.51,         0.27,         4.31,        70.47,         4.59,         0.27,         0.00,         0.00,         0.00,         0.00
edge_kernel_multipim_3__k2_Tahiti1, 5, 2451, 0, {   1280       1       1}, {  128     1     1},         4.29837, 0, 17, 52, 0, NA,        20.00,     53924.00,     14705.00,     12255.00,        25.00,         1.00,         0.00,        95.70,         2.45,         0.86,        78.94,        99.12,        16.61,         0.00,         0.00,         0.00,         0.00,         0.00
reduce__k3_Tahiti1, 6, 2452, 0, {   1280       1       1}, {  128     1     1},         0.02993, 1024, 8, 16, 0, NA,        20.00,        43.50,        52.50,         1.00,         8.50,         0.50,        24.00,        53.14,         0.30,         0.68,        10.31,        30.71,         0.77,         0.02,         0.00,         0.02,         0.00,         0.00
vertex_gauss_multiplim_3__k1_Tahiti1, 7, 2453, 0, {     64      64       1}, {   16    16     1},         0.04104, 0, 18, 28, 0, NA,        64.00,       106.69,         8.06,         4.88,        13.25,         0.81,         0.00,        77.75,         3.04,         0.24,         4.31,        70.76,         3.91,         0.23,         0.00,         0.00,         0.00,         0.00
edge_kernel_multipim_3__k2_Tahiti1, 8, 2454, 0, {   1280       1       1}, {  128     1     1},         7.27778, 0, 17, 52, 0, NA,        20.00,     53924.00,     14705.00,     12255.00,        25.00,         1.00,         0.00,        95.70,         2.06,         0.73,     16234.12,        51.94,        20.43,         0.00,         0.00,         0.00,         0.00,         0.00
reduce__k3_Tahiti1, 9, 2455, 0, {   1280       1       1}, {  128     1     1},         0.01585, 1024, 8, 16, 0, NA,        20.00,        43.50,        52.50,         1.00,         8.50,         0.50,        24.00,        53.14,         0.33,         0.75,        10.31,        23.74,         0.85,         0.02,         0.00,         0.02,         0.00,         0.00
vertex_gauss_multiplim_3__k1_Tahiti1, 10, 2456, 0, {     64      64       1}, {   16    16     1},         0.02045, 0, 18, 28, 0, NA,        64.00,       106.69,         8.06,         4.88,        13.25,         0.81,         0.00,        77.75,         3.45,         0.27,         4.31,        70.96,         4.48,         0.27,         0.00,         0.00,         0.00,         0.00
edge_kernel_multipim_3__k2_Tahiti1, 11, 2457, 0, {   1280       1       1}, {  128     1     1},         7.28415, 0, 17, 52, 0, NA,        20.00,     53924.00,     14705.00,     12255.00,        25.00,         1.00,         0.00,        95.70,         2.40,         0.85,        78.94,        99.12,        16.43,         0.00,         0.00,         0.00,         0.00,         0.00
reduce__k3_Tahiti1, 12, 2458, 0, {   1280       1       1}, {  128     1     1},         0.01970, 1024, 8, 16, 0, NA,        20.00,        43.50,        52.50,         1.00,         8.50,         0.50,        24.00,        53.14,         0.28,         0.62,        10.31,        23.74,         0.70,         0.02,         0.00,         0.02,         0.00,         0.00
vertex_gauss_multiplim_3__k1_Tahiti1, 13, 2459, 0, {     64      64       1}, {   16    16     1},         0.02074, 0, 18, 28, 0, NA,        64.00,       106.69,         8.06,         4.88,        13.25,         0.81,         0.00,        77.75,         3.43,         0.27,         4.31,        70.85,         4.44,         0.26,         0.00,         0.00,         0.00,         0.00
edge_kernel_multipim_3__k2_Tahiti1, 14, 2460, 0, {   1280       1       1}, {  128     1     1},         4.40963, 0, 17, 52, 0, NA,        20.00,     53924.00,     14705.00,     12255.00,        25.00,         1.00,         0.00,        95.70,         2.42,         0.85,        78.81,        99.12,        16.06,         0.00,         0.00,         0.00,        96.19,         0.00
reduce__k3_Tahiti1, 15, 2461, 0, {   1280       1       1}, {  128     1     1},         0.00933, 1024, 8, 16, 0, NA,        20.00,        43.50,        52.50,         1.00,         8.50,         0.50,        24.00,        53.14,         0.31,         0.69,        10.31,        27.39,         0.78,         0.02,         0.00,         0.02,         0.00,         0.00
vertex_gauss_multiplim_3__k1_Tahiti1, 16, 2462, 0, {     64      64       1}, {   16    16     1},         0.01289, 0, 18, 28, 0, NA,        64.00,       106.69,         8.06,         4.88,        13.25,         0.81,         0.00,        77.75,         3.05,         0.24,         4.31,        70.54,         2.70,         0.24,         0.00,         0.00,         0.00,         0.00
edge_kernel_multipim_3__k2_Tahiti1, 17, 2463, 0, {   1280       1       1}, {  128     1     1},         2.34000, 0, 17, 52, 0, NA,        20.00,     53924.00,     14705.00,     12255.00,        25.00,         1.00,         0.00,        95.70,         2.43,         0.86,        78.94,        99.12,        16.45,         0.00,         0.00,         0.00,         0.00,         0.00
reduce__k3_Tahiti1, 18, 2464, 0, {   1280       1       1}, {  128     1     1},         0.00948, 1024, 8, 16, 0, NA,        20.00,        43.50,        52.50,         1.00,         8.50,         0.50,        24.00,        53.14,         0.30,         0.68,        10.31,        27.39,         0.77,         0.02,         0.00,         0.02,         0.00,         0.00
vertex_gauss_multiplim_3__k1_Tahiti1, 19, 2465, 0, {     64      64       1}, {   16    16     1},         0.01289, 0, 18, 28, 0, NA,        64.00,       106.69,         8.06,         4.88,        13.25,         0.81,         0.00,        77.75,         3.03,         0.24,         4.31,        71.22,         3.93,         0.23,         0.00,         0.00,         0.00,         0.00
