Exec_Order, ThreadId, elapsed_us, elapsed_uc, COMMIT_CYC, INSTRUCTIONS, CLOCK_CYC, L2_CACHE_MISS
1, 20173, 932849, 3544826200, 201309881, 600267927, 772300717, 2844143 
2, 20173, 248, 942400, 1961, 3635, 90165, 951 
3, 20173, 185, 703000, 4382, 10105, 142533, 1105 
4, 20173, 3, 7600, 1345, 3019, 10092, 16 
5, 20173, 15, 57000, 1910, 4094, 52628, 341 
1, 20176, 104024, 395295000, 50005131, 200004254, 388383026, 6279174 
1, 20177, 106618, 405148400, 50114526, 200002551, 398570593, 6281693 
1, 20175, 707757, 2689719800, 50649385, 200102467, 458730578, 6312111 
6, 20173, 2, 3800, 387, 665, 13086, 127 
7, 20173, 2, 3800, 379, 665, 12781, 114 
8, 20173, 37, 140600, 721, 1427, 17800, 69 
9, 20173, 71, 269800, 461, 731, 37015, 396 
10, 20173, 2, 7600, 509, 863, 9818, 81 
11, 20173, 312, 1181800, 1591, 2930, 78216, 711 
12, 20173, 3, 11400, 1280, 2789, 11289, 51 
1, 20192, 149821, 569319800, 27978538, 116687395, 210375487, 4178091 
1, 20191, 436694, 1659441000, 28491387, 116748849, 296449675, 4182629 
13, 20173, 69, 262200, 462, 666, 41145, 410 
14, 20173, 6, 26600, 335, 669, 7352, 33 
