Exec_Order, ThreadId, elapsed_us, elapsed_uc, COMMIT_CYC, INSTRUCTIONS, CLOCK_CYC, L2_CACHE_MISS
1, 18784, 52, 193800, 23282, 59058, 135200, 588 
2, 18784, 1, 0, 358, 721, 3921, 4 
3, 18784, 1, 3800, 355, 720, 3687, 4 
4, 18784, 1, 3800, 350, 720, 3294, 2 
5, 18784, 1, 3800, 348, 720, 3248, 0 
6, 18784, 3, 11400, 353, 721, 4778, 6 
7, 18784, 7805, 29659000, 3714066, 6195147, 19321295, 364414 
8, 18784, 2, 7600, 400, 718, 12747, 88 
9, 18784, 3, 7600, 401, 718, 12376, 96 
10, 18784, 1, 7600, 411, 718, 9599, 74 
11, 18784, 1, 3800, 358, 718, 3505, 17 
12, 18784, 1, 0, 350, 719, 2845, 4 
13, 18784, 1, 3800, 362, 726, 4227, 18 
14, 18784, 1, 0, 359, 721, 3711, 4 
15, 18784, 1, 3800, 358, 720, 3253, 8 
16, 18784, 1, 0, 357, 720, 2934, 0 
17, 18784, 0, 3800, 351, 720, 3364, 1 
18, 18784, 1, 3800, 354, 720, 3343, 3 
19, 18784, 8386, 31866800, 3712704, 6192405, 21344334, 364727 
20, 18784, 2, 7600, 404, 718, 12045, 96 
21, 18784, 2, 7600, 402, 718, 11383, 92 
22, 18784, 1, 3800, 346, 718, 3399, 5 
23, 18784, 1, 3800, 348, 718, 3591, 4 
24, 18784, 1, 3800, 348, 719, 3419, 1 
25, 18784, 1, 3800, 356, 726, 4319, 17 
26, 18784, 1, 3800, 352, 721, 3297, 4 
27, 18784, 1, 3800, 352, 720, 3550, 0 
28, 18784, 1, 3800, 352, 720, 3686, 5 
29, 18784, 1, 3800, 350, 720, 3147, 3 
30, 18784, 1, 0, 350, 720, 2792, 0 
31, 18784, 7736, 29396800, 3712868, 6192405, 19192184, 365724 
32, 18784, 2, 7600, 406, 718, 12270, 100 
33, 18784, 2, 7600, 396, 718, 12223, 84 
34, 18784, 2, 7600, 397, 718, 12134, 92 
35, 18784, 1, 3800, 348, 718, 3193, 5 
36, 18784, 1, 3800, 347, 719, 3380, 2 
37, 18784, 6, 22800, 1308, 2868, 23849, 252 
38, 18784, 2, 7600, 1011, 2460, 12730, 81 
1, 18789, 4418, 16792200, 1402224, 3743399, 7880230, 33434 
39, 18784, 1, 7600, 368, 650, 5822, 54 
40, 18784, 1, 3800, 340, 704, 2949, 13 
1, 18790, 2459, 9348000, 995999, 2426421, 4967329, 25769 
41, 18784, 2, 7600, 368, 650, 7333, 58 
42, 18784, 1, 3800, 344, 704, 2980, 9 
1, 18791, 2715, 10317000, 995666, 2425347, 4802679, 26832 
43, 18784, 10, 38000, 1142, 2447, 34671, 330 
44, 18784, 12, 41800, 1431, 2562, 31602, 599 
45, 18784, 1, 3800, 353, 722, 3938, 17 
46, 18784, 9, 34200, 1352, 2562, 22152, 464 
47, 18784, 0, 3800, 351, 722, 3025, 5 
48, 18784, 9, 34200, 1351, 2558, 20862, 421 
49, 18784, 150, 570000, 192104, 407057, 549146, 1968 
50, 18784, 40, 155800, 30738, 76068, 135668, 527 
51, 18784, 2, 3800, 431, 721, 8809, 86 
52, 18784, 1, 3800, 355, 720, 3883, 22 
53, 18784, 1, 0, 359, 720, 3115, 16 
54, 18784, 1, 0, 358, 720, 3271, 9 
55, 18784, 1, 3800, 361, 721, 3298, 4 
56, 18784, 1, 3800, 362, 721, 3714, 6 
57, 18784, 1, 3800, 354, 721, 3495, 7 
58, 18784, 1, 0, 348, 720, 3128, 2 
59, 18784, 6255, 23769000, 2987522, 4962598, 15640410, 287501 
60, 18784, 2, 7600, 402, 718, 12239, 94 
61, 18784, 2, 7600, 403, 718, 13247, 98 
62, 18784, 1, 3800, 348, 718, 3558, 10 
63, 18784, 1, 3800, 347, 719, 3790, 5 
64, 18784, 1, 3800, 351, 719, 3251, 3 
65, 18784, 0, 3800, 347, 719, 3047, 1 
66, 18784, 0, 3800, 347, 718, 3184, 2 
67, 18784, 1, 3800, 346, 719, 2950, 4 
68, 18784, 1, 3800, 355, 725, 4076, 14 
69, 18784, 1, 3800, 352, 721, 2945, 5 
70, 18784, 1, 3800, 349, 720, 3528, 1 
71, 18784, 1, 3800, 351, 720, 3397, 4 
72, 18784, 1, 3800, 351, 720, 3339, 1 
73, 18784, 1, 0, 353, 721, 3139, 2 
74, 18784, 1, 3800, 353, 721, 3224, 1 
75, 18784, 1, 3800, 350, 721, 3615, 7 
76, 18784, 1, 3800, 352, 720, 3557, 0 
77, 18784, 6581, 25007800, 2987301, 4962595, 16716030, 287478 
78, 18784, 2, 3800, 403, 718, 12121, 92 
79, 18784, 1, 3800, 347, 718, 3347, 4 
80, 18784, 1, 3800, 344, 718, 3382, 4 
81, 18784, 1, 3800, 348, 719, 3330, 2 
82, 18784, 1, 3800, 349, 719, 3805, 3 
83, 18784, 1, 3800, 348, 719, 3125, 4 
84, 18784, 1, 0, 348, 718, 3191, 1 
85, 18784, 1, 3800, 350, 719, 3165, 1 
86, 18784, 1, 3800, 355, 725, 4043, 18 
87, 18784, 1, 3800, 357, 721, 3048, 3 
88, 18784, 1, 0, 351, 720, 3701, 1 
89, 18784, 1, 3800, 349, 720, 3655, 4 
90, 18784, 1, 3800, 347, 720, 3297, 1 
91, 18784, 1, 3800, 352, 721, 3154, 0 
92, 18784, 1, 3800, 352, 721, 3639, 10 
93, 18784, 1, 3800, 350, 721, 3235, 8 
94, 18784, 1, 3800, 393, 720, 6692, 46 
95, 18784, 5912, 22465600, 2987467, 4962598, 14685195, 283341 
96, 18784, 2, 3800, 404, 718, 12503, 95 
97, 18784, 0, 3800, 346, 718, 3187, 3 
98, 18784, 1, 3800, 349, 718, 3463, 4 
99, 18784, 1, 3800, 348, 719, 3553, 2 
100, 18784, 1, 0, 349, 719, 3318, 3 
101, 18784, 1, 3800, 348, 719, 3396, 1 
102, 18784, 1, 3800, 349, 718, 3559, 2 
103, 18784, 1, 3800, 349, 719, 3314, 3 
104, 18784, 2, 7600, 434, 754, 7408, 61 
105, 18784, 2, 3800, 385, 704, 9949, 67 
1, 18792, 3113, 11833200, 1153187, 2932035, 5855828, 31972 
106, 18784, 3, 7600, 386, 667, 7571, 80 
107, 18784, 0, 3800, 345, 704, 2904, 7 
1, 18793, 3053, 11605200, 1031743, 2504160, 5675900, 26418 
108, 18784, 2, 7600, 386, 667, 7725, 79 
109, 18784, 1, 0, 344, 704, 3090, 12 
1, 18794, 3013, 11453200, 1032977, 2504442, 5234117, 28583 
110, 18784, 6, 22800, 617, 1268, 21273, 189 
111, 18784, 3, 7600, 409, 719, 13768, 103 
112, 18784, 12, 41800, 386, 793, 27857, 557 
113, 18784, 1, 3800, 352, 719, 3152, 0 
114, 18784, 1, 0, 350, 724, 3444, 7 
115, 18784, 1, 3800, 352, 719, 3374, 0 
116, 18784, 11, 45600, 383, 795, 29539, 514 
117, 18784, 0, 3800, 348, 719, 3249, 4 
118, 18784, 1, 3800, 348, 724, 3148, 1 
119, 18784, 1, 3800, 349, 719, 3653, 1 
120, 18784, 12, 45600, 383, 795, 29880, 509 
121, 18784, 1, 3800, 348, 719, 2922, 0 
122, 18784, 220, 836000, 289537, 612248, 826657, 2407 
