Exec_Order, ThreadId, elapsed_us, elapsed_uc, COMMIT_CYC, INSTRUCTIONS, CLOCK_CYC, L2_CACHE_MISS
1, 18656, 100, 376200, 38575, 95888, 212589, 782 
2, 18656, 125, 475000, 49327, 91118, 305123, 8431 
3, 18656, 1, 3800, 359, 719, 4903, 7 
4, 18656, 1813, 6889400, 811162, 1371646, 4246867, 87145 
5, 18656, 2, 7600, 411, 719, 12457, 101 
6, 18656, 140, 532000, 48441, 88177, 289880, 5423 
7, 18656, 1, 3800, 362, 724, 4070, 15 
8, 18656, 114, 429400, 48132, 88145, 295038, 8247 
9, 18656, 1, 3800, 349, 719, 3279, 2 
10, 18656, 1892, 7185800, 811204, 1371646, 4508378, 90002 
11, 18656, 2, 3800, 406, 719, 11802, 98 
12, 18656, 107, 406600, 48193, 88130, 236927, 5400 
13, 18656, 1, 3800, 350, 724, 5152, 18 
14, 18656, 120, 456000, 48129, 88145, 291935, 8232 
15, 18656, 1, 3800, 348, 719, 3309, 1 
16, 18656, 1695, 6441000, 811160, 1371646, 4100055, 87478 
17, 18656, 2, 3800, 405, 719, 12053, 104 
18, 18656, 108, 406600, 48138, 88130, 230702, 5318 
19, 18656, 6, 22800, 1278, 2732, 22565, 216 
20, 18656, 3, 7600, 986, 2360, 13785, 85 
1, 18658, 4429, 16826400, 1525230, 4143534, 8869895, 37013 
21, 18656, 2, 7600, 357, 640, 7269, 62 
22, 18656, 1, 3800, 342, 704, 3036, 8 
1, 18659, 3313, 12589400, 1030489, 2496097, 5679743, 28607 
23, 18656, 2, 7600, 357, 640, 7338, 66 
24, 18656, 1, 3800, 343, 704, 2939, 7 
1, 18660, 3501, 13303800, 1036582, 2507937, 5523153, 29849 
25, 18656, 66, 250800, 52180, 97671, 250494, 6324 
26, 18656, 138, 524400, 197366, 481405, 382805, 6731 
27, 18656, 143, 543400, 197312, 481389, 388248, 5872 
28, 18656, 360, 1368000, 293062, 656611, 648238, 7991 
29, 18656, 47, 174800, 48089, 88069, 176375, 4425 
30, 18656, 40, 152000, 48056, 88069, 153969, 3631 
31, 18656, 137, 520600, 81244, 333896, 458447, 420 
32, 18656, 4, 15200, 377, 780, 5831, 5 
33, 18656, 1, 3800, 351, 718, 3637, 6 
34, 18656, 1773, 6737400, 811115, 1371646, 4299831, 88907 
35, 18656, 2, 7600, 405, 720, 11430, 104 
36, 18656, 1733, 6581600, 811132, 1371646, 4283917, 88844 
37, 18656, 2, 7600, 414, 724, 12351, 109 
38, 18656, 4, 15200, 384, 780, 5878, 21 
39, 18656, 0, 3800, 349, 718, 3220, 6 
40, 18656, 1728, 6566400, 811071, 1371646, 4249269, 87297 
41, 18656, 2, 7600, 414, 720, 12389, 103 
42, 18656, 1774, 6741200, 811201, 1371646, 4170789, 87334 
43, 18656, 2, 7600, 406, 724, 11852, 110 
44, 18656, 4, 15200, 428, 780, 8591, 63 
45, 18656, 1, 3800, 346, 718, 4329, 8 
46, 18656, 1705, 6479000, 811120, 1371647, 4123000, 87476 
47, 18656, 2, 3800, 405, 720, 11658, 101 
48, 18656, 1696, 6441000, 811148, 1371645, 4094414, 87258 
49, 18656, 9, 30400, 451, 723, 15982, 145 
50, 18656, 0, 3800, 341, 704, 2772, 4 
1, 18661, 3659, 13904200, 1197172, 3102993, 6023731, 33506 
51, 18656, 2, 7600, 353, 636, 7122, 68 
52, 18656, 1, 3800, 342, 704, 3069, 10 
1, 18662, 3759, 14288000, 1025296, 2485549, 5435087, 29913 
53, 18656, 2, 7600, 353, 636, 7872, 63 
54, 18656, 1, 3800, 340, 704, 3615, 8 
1, 18663, 4062, 15435600, 1029021, 2490998, 5947053, 30948 
55, 18656, 67, 258400, 50044, 92558, 253210, 8696 
56, 18656, 148, 558600, 197314, 459558, 390903, 7279 
57, 18656, 149, 566200, 197355, 459558, 399251, 8335 
58, 18656, 209, 794200, 292947, 634800, 669186, 12511 
59, 18656, 63, 239400, 48152, 88083, 243838, 8345 
60, 18656, 43, 159600, 48068, 88083, 161805, 4143 
61, 18656, 870, 3306000, 808744, 1371680, 3269083, 86653 
62, 18656, 2500, 9503800, 3348268, 8150279, 7177631, 163132 
63, 18656, 2475, 9405000, 3348235, 8150027, 7180287, 163172 
64, 18656, 4200, 15960000, 4965799, 10890174, 13705814, 331953 
65, 18656, 866, 3290800, 810014, 1370560, 3252309, 86798 
66, 18656, 858, 3260400, 810048, 1370560, 3220027, 86770 
67, 18656, 21462, 81555600, 43676176, 113552505, 76044425, 7712 
