Exec_Order, ThreadId, elapsed_us, elapsed_uc, COMMIT_CYC, INSTRUCTIONS, CLOCK_CYC, L2_CACHE_MISS
1, 7824, 41, 155800, 19363, 51784, 148199, 843 
2, 7824, 2, 3800, 410, 720, 12187, 105 
3, 7824, 2, 7600, 412, 720, 11865, 101 
4, 7824, 3, 7600, 407, 720, 12455, 103 
5, 7824, 2, 3800, 352, 721, 4928, 9 
6, 7824, 2, 3800, 413, 721, 13622, 112 
7, 7824, 14830, 56354000, 7076907, 11864009, 36587193, 716665 
8, 7824, 2, 7600, 401, 718, 11132, 92 
9, 7824, 3, 7600, 404, 718, 12086, 103 
10, 7824, 2, 7600, 404, 719, 12510, 103 
11, 7824, 2, 7600, 401, 719, 12427, 101 
12, 7824, 1, 7600, 399, 720, 11794, 105 
13, 7824, 28, 102600, 7051, 15141, 80947, 716 
14, 7824, 2, 7600, 410, 720, 12116, 105 
15, 7824, 2, 7600, 407, 720, 13167, 115 
16, 7824, 2, 7600, 416, 720, 11812, 88 
17, 7824, 2, 3800, 382, 721, 6478, 29 
18, 7824, 2, 3800, 409, 721, 12196, 107 
19, 7824, 16909, 64250400, 7075620, 11861032, 39489692, 726228 
20, 7824, 2, 3800, 402, 718, 12201, 103 
21, 7824, 3, 7600, 398, 718, 12082, 97 
22, 7824, 2, 7600, 400, 719, 12362, 100 
23, 7824, 2, 3800, 398, 719, 11634, 97 
24, 7824, 2, 3800, 402, 720, 12288, 100 
25, 7824, 29, 110200, 6726, 14677, 84566, 713 
26, 7824, 3, 7600, 410, 720, 13141, 112 
27, 7824, 2, 3800, 411, 720, 12457, 102 
28, 7824, 3, 7600, 412, 720, 12576, 102 
29, 7824, 2, 7600, 412, 721, 11603, 107 
30, 7824, 1, 0, 353, 721, 3593, 6 
31, 7824, 14676, 55768800, 7075488, 11861032, 36199396, 711176 
32, 7824, 2, 3800, 400, 718, 11747, 98 
33, 7824, 2, 3800, 399, 718, 11847, 91 
34, 7824, 2, 3800, 399, 719, 11351, 103 
35, 7824, 2, 3800, 396, 719, 11832, 96 
36, 7824, 2, 7600, 407, 720, 11842, 104 
37, 7824, 2, 7600, 424, 741, 12213, 110 
38, 7824, 20, 72200, 408, 721, 13683, 117 
39, 7824, 7, 22800, 1330, 2719, 26380, 274 
40, 7824, 2, 11400, 982, 2360, 13751, 84 
