#ProfileFileVersion=2.6
#ProfilerVersion=2.6.2153
#Application=/home/lifxu/Desktop/github-test/PIM/rodinia/bfs/bfs
#ApplicationArgs=/home/lifxu/Desktop/Benchmarks/rodinia_2.3/data/bfs/graph1MW_6.txt
#Device AMD A10-5800K APU with Radeon(tm) HD Graphics   Platform Vendor=Advanced Micro Devices, Inc.
#Device AMD A10-5800K APU with Radeon(tm) HD Graphics   Platform Name=AMD Accelerated Parallel Processing
#Device AMD A10-5800K APU with Radeon(tm) HD Graphics   Platform Version=OpenCL 1.2 AMD-APP (1124.2)
#Device AMD A10-5800K APU with Radeon(tm) HD Graphics   CLDriver Version=1124.2 (sse2,avx,fma4)
#Device AMD A10-5800K APU with Radeon(tm) HD Graphics   CLRuntime Version=OpenCL 1.2 AMD-APP (1124.2)
#Device AMD A10-5800K APU with Radeon(tm) HD Graphics   NumberAppAddressBits=64
#Device Tahiti Platform Vendor=Advanced Micro Devices, Inc.
#Device Tahiti Platform Name=AMD Accelerated Parallel Processing
#Device Tahiti Platform Version=OpenCL 1.2 AMD-APP (1124.2)
#Device Tahiti CLDriver Version=1124.2 (VM)
#Device Tahiti CLRuntime Version=OpenCL 1.2 AMD-APP (1124.2)
#Device Tahiti NumberAppAddressBits=32
#OS Version=CentOS release 6.4 (Final)
#DisplayName=
#ListSeparator=,
Method, ExecutionOrder, ThreadID, CallIndex, GlobalWorkSize, WorkGroupSize, Time, LocalMemSize, VGPRs, SGPRs, ScratchRegs, FCStacks, Wavefronts, VALUInsts, SALUInsts, VFetchInsts, SFetchInsts, VWriteInsts, LDSInsts, VALUUtilization, VALUBusy, SALUBusy, FetchSize, CacheHit, MemUnitBusy, MemUnitStalled, WriteUnitStalled, LDSBankConflict, WriteSize, GDSInsts
BFS_1_pim__k1_Tahiti1, 1, 7833, 0, { 333568       1       1}, {  256     1     1},         0.06074, 0, 4, 22, 0, NA,      5212.00,        10.00,         6.00,         1.00,        11.00,         0.00,         0.00,        89.95,         9.83,        11.79,       326.75,         1.34,        20.06,         0.00,         0.00,         0.00,         0.03,         0.00
BFS_1_pim__k1_Tahiti1, 2, 7834, 0, { 333568       1       1}, {  256     1     1},         0.05185, 0, 4, 22, 0, NA,      5212.00,        10.00,         6.00,         1.00,        11.00,         0.00,         0.00,        89.99,        10.01,        12.01,       326.19,        20.82,        19.71,         0.00,         0.00,         0.00,         0.00,         0.00
BFS_1_pim__k1_Tahiti1, 3, 7835, 0, { 333568       1       1}, {  256     1     1},         0.05037, 0, 4, 22, 0, NA,      5212.00,        10.00,         6.00,         1.00,        11.00,         0.00,         0.00,        89.99,        10.11,        12.14,       326.19,        20.82,        20.10,         0.00,         0.00,         0.00,         0.00,         0.00
BFS_2_pim__k2_Tahiti1, 4, 7836, 0, { 333568       1       1}, {  256     1     1},         0.06326, 0, 8, 16, 0, NA,      5212.00,         8.00,         5.00,         1.00,        11.00,         0.00,         0.00,        87.47,         7.79,         9.73,       326.44,         1.40,        17.29,         0.01,         0.00,         0.00,         0.03,         0.00
BFS_2_pim__k2_Tahiti1, 5, 7837, 0, { 333568       1       1}, {  256     1     1},         0.05378, 0, 8, 16, 0, NA,      5212.00,         8.00,         5.00,         1.00,        11.00,         0.00,         0.00,        87.50,         7.77,         9.72,       326.44,        20.80,        18.15,         0.00,         0.00,         0.00,         0.00,         0.00
BFS_2_pim__k2_Tahiti1, 6, 7838, 0, { 333568       1       1}, {  256     1     1},         0.05304, 0, 8, 16, 0, NA,      5212.00,         8.00,         5.00,         1.00,        11.00,         0.00,         0.00,        87.48,         7.98,         9.98,       326.25,        20.81,        17.73,         0.00,         0.00,         0.00,         0.00,         0.00
BFS_1_pim__k1_Tahiti1, 7, 7839, 0, { 333568       1       1}, {  256     1     1},         0.08237, 0, 4, 22, 0, NA,      5212.00,        10.02,         6.01,         1.01,        11.00,         0.00,         0.00,        89.76,         4.83,         5.80,       327.56,         1.46,        11.12,         0.05,         0.00,         0.00,         0.00,         0.00
BFS_1_pim__k1_Tahiti1, 8, 7840, 0, { 333568       1       1}, {  256     1     1},         0.05170, 0, 4, 22, 0, NA,      5212.00,        10.00,         6.00,         1.00,        11.00,         0.00,         0.00,        89.99,         9.97,        11.96,       326.19,        20.82,        19.42,         0.00,         0.00,         0.00,         0.00,         0.00
BFS_1_pim__k1_Tahiti1, 9, 7841, 0, { 333568       1       1}, {  256     1     1},         0.08696, 0, 4, 22, 0, NA,      5212.00,        10.02,         6.01,         1.00,        11.00,         0.00,         0.00,        89.84,         6.12,         7.35,       327.25,        20.76,        12.47,         0.00,         0.00,         0.00,         0.31,         0.00
BFS_2_pim__k2_Tahiti1, 10, 7842, 0, { 333568       1       1}, {  256     1     1},         0.03007, 0, 8, 16, 0, NA,      5212.00,         8.01,         5.00,         1.00,        11.00,         0.01,         0.00,        87.39,         7.25,         9.05,       326.44,         1.67,        16.84,         0.01,         0.00,         0.00,         0.00,         0.00
BFS_2_pim__k2_Tahiti1, 11, 7843, 0, { 333568       1       1}, {  256     1     1},         0.01733, 0, 8, 16, 0, NA,      5212.00,         8.01,         5.00,         1.00,        11.00,         0.01,         0.00,        87.39,         5.51,         6.88,       326.50,        20.94,        12.74,         0.02,         0.00,         0.00,         0.00,         0.00
BFS_2_pim__k2_Tahiti1, 12, 7844, 0, { 333568       1       1}, {  256     1     1},         0.01704, 0, 8, 16, 0, NA,      5212.00,         8.01,         5.00,         1.00,        11.00,         0.01,         0.00,        87.41,         7.90,         9.87,       326.25,        20.91,        18.27,         0.05,         0.00,         0.00,         0.03,         0.00
BFS_1_pim__k1_Tahiti1, 13, 7845, 0, { 333568       1       1}, {  256     1     1},         0.02267, 0, 4, 22, 0, NA,      5212.00,        10.09,         6.05,         1.02,        11.00,         0.01,         0.00,        89.23,         6.00,         7.20,       330.19,         2.02,        15.58,         0.12,         0.00,         0.00,         0.03,         0.00
BFS_1_pim__k1_Tahiti1, 14, 7846, 0, { 333568       1       1}, {  256     1     1},         0.02370, 0, 4, 22, 0, NA,      5212.00,        10.08,         6.05,         1.02,        11.00,         0.01,         0.00,        89.24,         7.23,         8.68,       329.94,        20.91,        17.48,         0.12,         0.00,         0.00,         0.00,         0.00
BFS_1_pim__k1_Tahiti1, 15, 7847, 0, { 333568       1       1}, {  256     1     1},         0.02370, 0, 4, 22, 0, NA,      5212.00,        10.07,         6.04,         1.02,        11.00,         0.01,         0.00,        89.36,         5.74,         6.89,       329.81,        20.77,        14.90,         0.13,         0.00,         0.00,         0.00,         0.00
BFS_2_pim__k2_Tahiti1, 16, 7848, 0, { 333568       1       1}, {  256     1     1},         0.01718, 0, 8, 16, 0, NA,      5212.00,         8.05,         5.00,         1.00,        11.01,         0.03,         0.00,        87.02,         7.81,         9.71,       326.44,         2.63,        18.16,         0.05,         0.00,         0.00,         4.31,         0.00
BFS_2_pim__k2_Tahiti1, 17, 7849, 0, { 333568       1       1}, {  256     1     1},         0.01718, 0, 8, 16, 0, NA,      5212.00,         8.05,         5.00,         1.00,        11.01,         0.04,         0.00,        86.96,         7.80,         9.69,       326.50,        21.39,        19.59,         0.08,         0.00,         0.00,         0.28,         0.00
