Exec_Order, ThreadId, elapsed_us, elapsed_uc, COMMIT_CYC, INSTRUCTIONS, CLOCK_CYC, L2_CACHE_MISS
1, 25773, 48, 178600, 20336, 54005, 146428, 816 
2, 25773, 92, 345800, 32582, 60458, 223365, 5710 
3, 25773, 1, 3800, 362, 718, 3534, 4 
4, 25773, 84, 315400, 31392, 57485, 194936, 5493 
5, 25773, 1, 3800, 358, 719, 4403, 10 
6, 25773, 3, 11400, 506, 1054, 5869, 19 
7, 25773, 1, 3800, 353, 724, 3635, 7 
8, 25773, 69, 262200, 31371, 57485, 170325, 3785 
9, 25773, 1, 3800, 348, 718, 3169, 1 
10, 25773, 67, 258400, 31368, 57485, 147316, 2772 
11, 25773, 2, 3800, 371, 719, 6047, 21 
12, 25773, 4, 11400, 499, 1054, 6861, 43 
13, 25773, 4, 15200, 1177, 2730, 14212, 93 
14, 25773, 2, 7600, 969, 2360, 13885, 87 
1, 25776, 3953, 15017600, 1476481, 3993667, 7856859, 31300 
15, 25773, 2, 7600, 352, 634, 6531, 53 
16, 25773, 1, 3800, 339, 704, 3435, 7 
1, 25777, 2600, 9876200, 1015138, 2466655, 5038942, 25596 
17, 25773, 67, 254600, 35464, 66916, 224332, 6443 
18, 25773, 102, 387600, 130414, 303824, 280237, 5758 
19, 25773, 135, 509200, 192543, 417634, 423910, 5336 
20, 25773, 27, 102600, 31346, 57445, 103681, 2012 
21, 25773, 1, 7600, 393, 721, 6938, 53 
22, 25773, 1, 7600, 337, 704, 4228, 4 
1, 25778, 2681, 10184000, 1153822, 2970772, 5118097, 24983 
23, 25773, 2, 7600, 353, 634, 7078, 56 
24, 25773, 1, 3800, 347, 704, 3394, 6 
1, 25779, 2594, 9857200, 1020386, 2479160, 5041036, 24692 
25, 25773, 46, 174800, 31976, 58842, 170302, 5751 
26, 25773, 126, 478800, 130397, 323748, 375038, 8022 
27, 25773, 141, 539600, 192593, 436716, 429003, 3029 
28, 25773, 16, 64600, 31334, 57445, 63624, 43 
29, 25773, 3, 7600, 683, 1494, 8043, 43 
30, 25773, 4, 15200, 980, 2390, 7379, 20 
31, 25773, 4, 15200, 1336, 2989, 8535, 18 
32, 25773, 1, 3800, 499, 1056, 4165, 1 
33, 25773, 1, 3800, 400, 726, 5645, 43 
34, 25773, 1, 3800, 348, 704, 2710, 4 
1, 25780, 2479, 9416400, 1017728, 2480436, 5184424, 22054 
35, 25773, 2, 3800, 351, 634, 6639, 59 
36, 25773, 1, 0, 343, 704, 2970, 7 
1, 25781, 2524, 9587400, 1016606, 2477156, 4915548, 23145 
37, 25773, 46, 174800, 32405, 59620, 172906, 5793 
38, 25773, 105, 395200, 130412, 303829, 275623, 5438 
39, 25773, 130, 497800, 192636, 417817, 405397, 5109 
40, 25773, 32, 117800, 31363, 57445, 120618, 3124 
41, 25773, 1, 7600, 394, 721, 7031, 54 
42, 25773, 0, 3800, 345, 704, 2693, 1 
1, 25782, 2567, 9758400, 1023115, 2487525, 5096158, 23963 
43, 25773, 2, 7600, 354, 634, 7421, 57 
44, 25773, 1, 3800, 347, 704, 3411, 9 
1, 25783, 2613, 9933200, 1021541, 2489013, 4850976, 23045 
45, 25773, 47, 174800, 32135, 58929, 174348, 5760 
46, 25773, 93, 357200, 130335, 325071, 253263, 2729 
47, 25773, 127, 482600, 192550, 438625, 388849, 2798 
48, 25773, 25, 91200, 31337, 57445, 91797, 1234 
49, 25773, 2, 3800, 668, 1483, 6511, 33 
50, 25773, 4, 15200, 983, 2395, 6485, 15 
51, 25773, 3, 15200, 1333, 2989, 8272, 13 
52, 25773, 2, 3800, 496, 1056, 3627, 0 
53, 25773, 2, 3800, 398, 726, 5400, 33 
54, 25773, 0, 3800, 350, 704, 2730, 2 
1, 25784, 2681, 10184000, 1021011, 2484793, 4968605, 25548 
55, 25773, 2, 7600, 349, 634, 6973, 59 
56, 25773, 1, 3800, 343, 704, 2966, 6 
1, 25785, 2638, 10020600, 1020088, 2481384, 5157152, 26682 
57, 25773, 46, 174800, 32428, 59644, 172117, 5822 
58, 25773, 91, 345800, 130367, 303829, 249749, 2817 
59, 25773, 114, 429400, 192591, 417816, 346154, 2871 
60, 25773, 17, 64600, 31339, 57445, 65515, 77 
61, 25773, 2, 7600, 399, 721, 5583, 35 
62, 25773, 0, 3800, 345, 704, 2666, 4 
1, 25786, 2733, 10385400, 1022211, 2487331, 5094504, 26326 
63, 25773, 3, 7600, 347, 634, 8663, 61 
64, 25773, 1, 3800, 343, 704, 3026, 9 
1, 25787, 2758, 10480400, 1022520, 2488436, 5006793, 23731 
65, 25773, 46, 178600, 32126, 58929, 173088, 5753 
66, 25773, 117, 444600, 130346, 325072, 326201, 6355 
67, 25773, 117, 448400, 192594, 438625, 354204, 2931 
68, 25773, 18, 64600, 31339, 57445, 66185, 74 
69, 25773, 2, 3800, 678, 1483, 7566, 37 
70, 25773, 3, 15200, 982, 2395, 6797, 16 
71, 25773, 4, 15200, 1332, 2989, 9034, 15 
72, 25773, 1, 3800, 496, 1056, 4528, 3 
73, 25773, 2, 3800, 402, 726, 5514, 43 
74, 25773, 0, 3800, 344, 704, 2700, 1 
1, 25788, 2804, 10655200, 1020850, 2481474, 5124793, 25008 
75, 25773, 2, 7600, 351, 634, 7373, 59 
76, 25773, 1, 0, 343, 704, 3048, 9 
1, 25789, 2610, 9921800, 1018489, 2481646, 4868678, 22588 
77, 25773, 47, 178600, 32426, 59644, 175076, 5801 
78, 25773, 104, 391400, 130413, 303828, 287886, 5450 
79, 25773, 125, 475000, 192641, 417815, 387671, 5099 
80, 25773, 24, 95000, 31337, 57445, 94878, 1022 
81, 25773, 2, 3800, 402, 721, 7031, 62 
82, 25773, 1, 3800, 342, 704, 2830, 2 
1, 25790, 2826, 10738800, 1026355, 2485784, 5326456, 27743 
83, 25773, 3, 11400, 350, 634, 8365, 63 
84, 25773, 1, 3800, 345, 704, 3041, 11 
1, 25791, 2691, 10229600, 1020540, 2488706, 5094911, 20610 
85, 25773, 46, 174800, 32135, 58929, 171210, 5769 
