#ProfileFileVersion=2.6
#ProfilerVersion=2.6.2153
#Application=/home/lifxu/Desktop/github-test/PIM/rodinia/gaussian/gaussian.exe
#ApplicationArgs=/home/lifxu/Desktop/Benchmarks/rodinia_2.3/data/gaussian/matrix208.txt
#Device AMD A10-5800K APU with Radeon(tm) HD Graphics   Platform Vendor=Advanced Micro Devices, Inc.
#Device AMD A10-5800K APU with Radeon(tm) HD Graphics   Platform Name=AMD Accelerated Parallel Processing
#Device AMD A10-5800K APU with Radeon(tm) HD Graphics   Platform Version=OpenCL 1.2 AMD-APP (1124.2)
#Device AMD A10-5800K APU with Radeon(tm) HD Graphics   CLDriver Version=1124.2 (sse2,avx,fma4)
#Device AMD A10-5800K APU with Radeon(tm) HD Graphics   CLRuntime Version=OpenCL 1.2 AMD-APP (1124.2)
#Device AMD A10-5800K APU with Radeon(tm) HD Graphics   NumberAppAddressBits=64
#Device Tahiti Platform Vendor=Advanced Micro Devices, Inc.
#Device Tahiti Platform Name=AMD Accelerated Parallel Processing
#Device Tahiti Platform Version=OpenCL 1.2 AMD-APP (1124.2)
#Device Tahiti CLDriver Version=1124.2 (VM)
#Device Tahiti CLRuntime Version=OpenCL 1.2 AMD-APP (1124.2)
#Device Tahiti NumberAppAddressBits=32
#OS Version=CentOS release 6.4 (Final)
#DisplayName=
#ListSeparator=,
Method, ExecutionOrder, ThreadID, CallIndex, GlobalWorkSize, WorkGroupSize, Time, LocalMemSize, VGPRs, SGPRs, ScratchRegs, FCStacks, Wavefronts, VALUInsts, SALUInsts, VFetchInsts, SFetchInsts, VWriteInsts, LDSInsts, VALUUtilization, VALUBusy, SALUBusy, FetchSize, CacheHit, MemUnitBusy, MemUnitStalled, WriteUnitStalled, LDSBankConflict, WriteSize, GDSInsts
Fan1_pim__k1_Tahiti1, 1, 8084, 0, {    256       1       1}, {  256     1     1},         0.03096, 0, 4, 14, 0, NA,         4.00,        20.00,        10.00,         2.00,         9.00,         1.00,         0.00,        84.54,         0.05,         0.04,        13.56,         0.00,         0.00,         0.00,         0.00,         0.00,         0.00,         0.00
Fan1_pim__k1_Tahiti1, 2, 8085, 0, {    256       1       1}, {  256     1     1},         0.02074, 0, 4, 14, 0, NA,         4.00,        16.50,         8.75,         1.50,         8.50,         0.75,         0.00,        77.33,         0.04,         0.03,         9.19,         0.00,         0.00,         0.00,         0.00,         0.00,         0.00,         0.00
Fan1_pim__k1_Tahiti1, 3, 8086, 0, {    256       1       1}, {  256     1     1},         0.01941, 0, 4, 14, 0, NA,         4.00,        13.00,         7.50,         1.00,         8.00,         0.50,         0.00,        66.11,         0.03,         0.03,         4.88,         0.00,         0.00,         0.41,         0.00,         0.00,         0.00,         0.00
Fan2_pim__k2_Tahiti1, 4, 8087, 0, {  14592       1       1}, {  256     1     1},         0.04815, 0, 7, 20, 0, NA,       228.00,        52.07,        14.04,         3.05,        10.02,         1.02,         0.00,        98.57,         4.44,         1.64,        79.69,        96.76,        37.20,        12.70,         0.00,         0.00,         0.00,         0.00
Fan2_pim__k2_Tahiti1, 5, 8088, 0, {  14592       1       1}, {  256     1     1},         0.03985, 0, 7, 20, 0, NA,       228.00,        52.00,        14.00,         3.00,        10.00,         1.00,         0.00,        98.57,         4.42,         1.63,        78.88,        96.82,        38.74,        11.02,         0.00,         0.00,         0.00,         0.00
Fan2_pim__k2_Tahiti1, 6, 8089, 0, {  14592       1       1}, {  256     1     1},         0.03807, 0, 7, 20, 0, NA,       228.00,        51.87,        13.97,         2.97,         9.98,         0.99,         0.00,        98.50,         4.44,         1.64,        78.88,        96.73,        37.64,        11.01,         0.00,         0.00,         0.00,         0.00
Fan1_pim__k1_Tahiti1, 7, 8090, 0, {    256       1       1}, {  256     1     1},         0.02104, 0, 4, 14, 0, NA,         4.00,        20.00,        10.00,         2.00,         9.00,         1.00,         0.00,        84.22,         0.05,         0.04,        13.50,         0.00,         4.22,         1.36,         0.00,         0.00,         0.00,         0.00
Fan1_pim__k1_Tahiti1, 8, 8091, 0, {    256       1       1}, {  256     1     1},         0.02089, 0, 4, 14, 0, NA,         4.00,        16.50,         8.75,         1.50,         8.50,         0.75,         0.00,        76.93,         0.04,         0.03,         9.12,         0.00,         2.93,         0.77,         0.00,         0.00,         0.00,         0.00
Fan1_pim__k1_Tahiti1, 9, 8092, 0, {    256       1       1}, {  256     1     1},         0.01970, 0, 4, 14, 0, NA,         4.00,        13.00,         7.50,         1.00,         8.00,         0.50,         0.00,        65.60,         0.03,         0.03,         4.81,         0.00,         0.00,         0.00,         0.00,         0.00,         0.00,         0.00
Fan2_pim__k2_Tahiti1, 10, 8093, 0, {  14592       1       1}, {  256     1     1},         0.03882, 0, 7, 20, 0, NA,       228.00,        52.07,        14.04,         3.05,        10.02,         1.02,         0.00,        98.46,         4.42,         1.63,        79.31,        96.73,        35.55,        11.05,         0.00,         0.00,         0.00,         0.00
Fan2_pim__k2_Tahiti1, 11, 8094, 0, {  14592       1       1}, {  256     1     1},         0.03778, 0, 7, 20, 0, NA,       228.00,        52.00,        14.00,         3.00,        10.00,         1.00,         0.00,        98.46,         4.21,         1.55,        78.50,        96.79,        35.96,        10.33,         0.00,         0.00,         0.00,         0.00
Fan2_pim__k2_Tahiti1, 12, 8095, 0, {  14592       1       1}, {  256     1     1},         0.03882, 0, 7, 20, 0, NA,       228.00,        51.67,        13.93,         2.93,         9.96,         0.98,         0.00,        98.36,         4.42,         1.63,        78.50,        96.71,        39.94,        10.06,         0.00,         0.00,         0.00,         0.00
Fan1_pim__k1_Tahiti1, 13, 8096, 0, {    256       1       1}, {  256     1     1},         0.02089, 0, 4, 14, 0, NA,         4.00,        20.00,        10.00,         2.00,         9.00,         1.00,         0.00,        83.91,         0.04,         0.03,        13.44,         0.00,         0.00,         0.00,         0.00,         0.00,         0.00,         0.00
Fan1_pim__k1_Tahiti1, 14, 8097, 0, {    256       1       1}, {  256     1     1},         0.02104, 0, 4, 14, 0, NA,         4.00,        16.50,         8.75,         1.50,         8.50,         0.75,         0.00,        76.54,         0.03,         0.03,         9.06,         0.00,         0.00,         0.00,         0.00,         0.00,         0.00,         0.00
Fan1_pim__k1_Tahiti1, 15, 8098, 0, {    256       1       1}, {  256     1     1},         0.01970, 0, 4, 14, 0, NA,         4.00,        13.00,         7.50,         1.00,         8.00,         0.50,         0.00,        65.09,         0.03,         0.03,         4.75,         0.00,         2.08,         0.42,         0.00,         0.00,         0.00,         0.00
Fan2_pim__k2_Tahiti1, 16, 8099, 0, {  14592       1       1}, {  256     1     1},         0.03793, 0, 7, 20, 0, NA,       228.00,        52.07,        14.04,         3.05,        10.02,         1.02,         0.00,        98.34,         4.37,         1.61,        78.94,        96.76,        39.00,        12.45,         0.00,         0.00,         0.00,         0.00
Fan2_pim__k2_Tahiti1, 17, 8100, 0, {  14592       1       1}, {  256     1     1},         0.03793, 0, 7, 20, 0, NA,       228.00,        52.00,        14.00,         3.00,        10.00,         1.00,         0.00,        98.34,         4.47,         1.65,        78.12,        96.72,        37.26,        11.41,         0.00,         0.00,         0.00,         0.00
Fan2_pim__k2_Tahiti1, 18, 8101, 0, {  14592       1       1}, {  256     1     1},         0.03837, 0, 7, 20, 0, NA,       228.00,        51.41,        13.88,         2.88,         9.92,         0.96,         0.00,        98.32,         4.44,         1.64,        78.12,        96.65,        37.19,         9.28,         0.00,         0.00,         0.00,         0.00
Fan1_pim__k1_Tahiti1, 19, 8102, 0, {    256       1       1}, {  256     1     1},         0.02118, 0, 4, 14, 0, NA,         4.00,        20.00,        10.00,         2.00,         9.00,         1.00,         0.00,        83.59,         0.05,         0.04,        13.38,         0.00,         3.83,         1.15,         0.00,         0.00,         0.00,         0.00
Fan1_pim__k1_Tahiti1, 20, 8103, 0, {    256       1       1}, {  256     1     1},         0.02104, 0, 4, 14, 0, NA,         4.00,        16.50,         8.75,         1.50,         8.50,         0.75,         0.00,        76.15,         0.04,         0.03,         9.00,         0.00,         0.00,         0.75,         0.00,         0.00,         0.00,         0.00
Fan1_pim__k1_Tahiti1, 21, 8104, 0, {    256       1       1}, {  256     1     1},         0.02044, 0, 4, 14, 0, NA,         4.00,        13.00,         7.50,         1.00,         8.00,         0.50,         0.00,        64.58,         0.03,         0.03,         4.69,         0.00,         0.00,         0.00,         0.00,         0.00,         0.00,         0.00
Fan2_pim__k2_Tahiti1, 22, 8105, 0, {  14592       1       1}, {  256     1     1},         0.03807, 0, 7, 20, 0, NA,       228.00,        52.07,        14.04,         3.05,        10.02,         1.02,         0.00,        98.23,         4.24,         1.57,        78.56,        96.73,        35.94,        10.94,         0.00,         0.00,         0.00,         0.00
Fan2_pim__k2_Tahiti1, 23, 8106, 0, {  14592       1       1}, {  256     1     1},         0.03689, 0, 7, 20, 0, NA,       228.00,        52.00,        14.00,         3.00,        10.00,         1.00,         0.00,        98.23,         4.48,         1.65,        77.75,        96.73,        36.77,         9.68,         0.00,         0.00,         0.00,         0.00
Fan2_pim__k2_Tahiti1, 24, 8107, 0, {  14592       1       1}, {  256     1     1},         0.03867, 0, 7, 20, 0, NA,       228.00,        51.21,        13.84,         2.84,         9.89,         0.95,         0.00,        98.18,         4.25,         1.57,        77.75,        96.60,        37.43,         9.18,         0.00,         0.00,         0.00,         0.00
Fan1_pim__k1_Tahiti1, 25, 8108, 0, {    256       1       1}, {  256     1     1},         0.02089, 0, 4, 14, 0, NA,         4.00,        20.00,        10.00,         2.00,         9.00,         1.00,         0.00,        83.28,         0.04,         0.03,        13.31,         0.00,         0.00,         0.00,         0.00,         0.00,         0.00,         0.00
Fan1_pim__k1_Tahiti1, 26, 8109, 0, {    256       1       1}, {  256     1     1},         0.02074, 0, 4, 14, 0, NA,         4.00,        16.50,         8.75,         1.50,         8.50,         0.75,         0.00,        75.76,         0.04,         0.03,         8.94,         0.00,         0.00,         0.00,         0.00,         0.00,         0.00,         0.00
Fan1_pim__k1_Tahiti1, 27, 8110, 0, {    256       1       1}, {  256     1     1},         0.01970, 0, 4, 14, 0, NA,         4.00,         9.50,         6.25,         0.50,         7.50,         0.25,         0.00,        93.18,         0.02,         0.02,         4.62,         0.00,         1.44,         0.36,         0.00,         0.00,         0.00,         0.00
Fan2_pim__k2_Tahiti1, 28, 8111, 0, {  14592       1       1}, {  256     1     1},         0.03882, 0, 7, 20, 0, NA,       228.00,        52.07,        14.04,         3.05,        10.02,         1.02,         0.00,        98.12,         4.39,         1.62,        78.19,        96.77,        39.83,        12.80,         0.00,         0.00,         0.00,         0.00
Fan2_pim__k2_Tahiti1, 29, 8112, 0, {  14592       1       1}, {  256     1     1},         0.03793, 0, 7, 20, 0, NA,       228.00,        52.00,        14.00,         3.00,        10.00,         1.00,         0.00,        98.12,         4.50,         1.66,        77.38,        96.79,        36.66,        10.33,         0.00,         0.00,         0.00,         0.00
Fan2_pim__k2_Tahiti1, 30, 8113, 0, {  14592       1       1}, {  256     1     1},         0.03778, 0, 7, 20, 0, NA,       228.00,        51.01,        13.80,         2.80,         9.87,         0.93,         0.00,        98.05,         4.48,         1.65,        77.38,        96.54,        37.03,         8.44,         0.00,         0.00,         0.00,         0.00
Fan1_pim__k1_Tahiti1, 31, 8114, 0, {    256       1       1}, {  256     1     1},         0.02089, 0, 4, 14, 0, NA,         4.00,        20.00,        10.00,         2.00,         9.00,         1.00,         0.00,        82.96,         0.05,         0.04,        13.25,         0.00,         4.28,         1.22,         0.00,         0.00,         0.00,         0.00
Fan1_pim__k1_Tahiti1, 32, 8115, 0, {    256       1       1}, {  256     1     1},         0.02089, 0, 4, 14, 0, NA,         4.00,        16.50,         8.75,         1.50,         8.50,         0.75,         0.00,        75.37,         0.04,         0.03,         8.88,         0.00,         2.84,         0.76,         0.00,         0.00,         0.00,         0.00
Fan1_pim__k1_Tahiti1, 33, 8116, 0, {    256       1       1}, {  256     1     1},         0.02015, 0, 4, 14, 0, NA,         4.00,         9.50,         6.25,         0.50,         7.50,         0.25,         0.00,        92.44,         0.02,         0.02,         4.56,         0.00,         0.00,         0.00,         0.00,         0.00,         0.00,         0.00
