Exec_Order, ThreadId, elapsed_us, elapsed_uc, COMMIT_CYC, INSTRUCTIONS, CLOCK_CYC, L2_CACHE_MISS
1, 15404, 38, 140600, 20761, 52048, 102329, 417 
2, 15404, 502, 1903800, 197147, 361657, 1324013, 33175 
3, 15404, 3, 7600, 401, 718, 11946, 93 
4, 15404, 472, 1793600, 196007, 358658, 1178938, 32976 
5, 15404, 3, 7600, 409, 719, 12330, 101 
6, 15404, 561, 2128000, 196793, 358914, 1289570, 16671 
7, 15404, 1, 7600, 375, 723, 7334, 43 
8, 15404, 437, 1660600, 195992, 358658, 1143337, 32989 
9, 15404, 1, 3800, 385, 718, 6826, 40 
10, 15404, 468, 1774600, 196056, 358658, 1138767, 33070 
11, 15404, 3, 7600, 406, 719, 12719, 97 
12, 15404, 412, 1561800, 196028, 358658, 952850, 16662 
13, 15404, 1, 3800, 369, 723, 6640, 32 
14, 15404, 468, 1782200, 196068, 358660, 1134692, 33082 
15, 15404, 2, 7600, 405, 718, 12748, 99 
16, 15404, 473, 1797400, 196042, 358659, 1200526, 33054 
17, 15404, 1, 3800, 379, 719, 5853, 28 
18, 15404, 412, 1561800, 196040, 358658, 969499, 16686 
19, 15404, 16, 57000, 2311, 4908, 38585, 366 
20, 15404, 2, 11400, 983, 2360, 13552, 81 
1, 15407, 4355, 16549000, 1482868, 4005151, 8452467, 36697 
21, 15404, 13, 49400, 1383, 2810, 18519, 196 
22, 15404, 1, 3800, 343, 704, 3373, 8 
1, 15408, 2926, 11122600, 1023477, 2481579, 5130747, 27379 
23, 15404, 10, 38000, 1316, 2810, 14389, 112 
24, 15404, 1, 0, 346, 704, 3071, 6 
1, 15409, 3123, 11863600, 1022205, 2480086, 5499383, 31841 
25, 15404, 326, 1238800, 198809, 365297, 639866, 11071 
26, 15404, 589, 2234400, 788130, 1928157, 1673848, 26257 
27, 15404, 617, 2340800, 787626, 1922013, 1815460, 27513 
28, 15404, 1664, 6319400, 1180174, 2636006, 3499644, 62873 
29, 15404, 254, 965200, 195790, 358405, 971794, 33027 
30, 15404, 268, 1018400, 195802, 358406, 1010834, 33043 
31, 15404, 243, 919600, 196227, 359570, 927931, 33211 
32, 15404, 572, 2173600, 788131, 1835998, 1624285, 27594 
33, 15404, 533, 2025400, 788132, 1835997, 1559104, 32962 
34, 15404, 975, 3720200, 1178982, 2552037, 3200010, 75713 
35, 15404, 330, 1254000, 195786, 358405, 1257102, 29988 
36, 15404, 276, 1048800, 195797, 358406, 1006729, 30808 
37, 15404, 247, 934800, 196178, 359520, 940518, 33192 
38, 15404, 556, 2109000, 788141, 1835997, 1543439, 32991 
39, 15404, 545, 2067200, 788137, 1835997, 1586897, 32963 
40, 15404, 1005, 3819000, 1178972, 2552051, 3324774, 83176 
41, 15404, 261, 991800, 195789, 358405, 994386, 32479 
42, 15404, 254, 961400, 195780, 358405, 966892, 33016 
43, 15404, 2, 7600, 421, 731, 13212, 115 
44, 15404, 443, 1683400, 197314, 358659, 1145507, 33033 
45, 15404, 120, 452200, 113244, 247494, 453515, 2640 
