Exec_Order, ThreadId, elapsed_us, elapsed_uc, COMMIT_CYC, INSTRUCTIONS, CLOCK_CYC, L2_CACHE_MISS
1, 12456, 43, 159600, 14580, 39234, 135722, 805 
2, 12456, 8427, 32022600, 4048625, 6702361, 20251390, 383971 
3, 12456, 4, 15200, 884, 1948, 18170, 176 
4, 12456, 3, 7600, 840, 1948, 14251, 96 
1, 12458, 4554, 17309000, 1384934, 3677406, 7833155, 34815 
5, 12456, 31, 121600, 4767, 9910, 82336, 743 
6, 12456, 7933, 30145400, 4048914, 6701710, 19247322, 372175 
7, 12456, 3, 7600, 414, 684, 14265, 136 
8, 12456, 2, 3800, 340, 704, 3261, 9 
1, 12459, 3561, 13535600, 1016931, 2459360, 5561372, 33849 
9, 12456, 33, 125400, 4867, 10091, 87135, 779 
10, 12456, 8824, 33535000, 4048923, 6701619, 21411115, 370269 
11, 12456, 2, 7600, 415, 684, 13015, 143 
12, 12456, 1, 0, 345, 704, 2858, 6 
1, 12460, 3188, 12110600, 1014029, 2458397, 5485751, 31843 
13, 12456, 5, 19000, 736, 1479, 16553, 173 
14, 12456, 1, 3800, 344, 707, 2244, 2 
15, 12456, 1, 3800, 336, 707, 1929, 0 
16, 12456, 1264, 4803200, 398067, 1365170, 2461539, 38121 
17, 12456, 2, 3800, 394, 721, 6160, 40 
18, 12456, 382, 1451600, 122833, 224851, 949762, 20163 
19, 12456, 1, 3800, 353, 720, 4073, 10 
20, 12456, 1, 3800, 359, 724, 3375, 6 
21, 12456, 1, 0, 352, 721, 3188, 12 
22, 12456, 327, 1238800, 122847, 224850, 811579, 20743 
23, 12456, 1, 3800, 357, 720, 3988, 6 
24, 12456, 2, 3800, 357, 724, 4586, 11 
25, 12456, 1, 3800, 351, 721, 3333, 5 
26, 12456, 308, 1174200, 122797, 224836, 786150, 20691 
27, 12456, 1, 3800, 363, 720, 4661, 25 
28, 12456, 4, 15200, 878, 1484, 16892, 192 
29, 12456, 1, 3800, 342, 704, 2764, 6 
1, 12461, 2775, 10541200, 1081513, 2706687, 5335660, 32941 
30, 12456, 3, 7600, 355, 639, 7969, 59 
31, 12456, 2, 11400, 343, 704, 9896, 9 
1, 12462, 3534, 13429200, 1011530, 2453948, 5344131, 31968 
32, 12456, 2, 7600, 354, 639, 7691, 69 
33, 12456, 1, 3800, 341, 704, 3119, 13 
1, 12463, 3251, 12357600, 1015089, 2463944, 5370368, 29857 
34, 12456, 2, 7600, 373, 719, 7820, 65 
35, 12456, 1, 3800, 340, 705, 2450, 6 
36, 12456, 1, 0, 333, 705, 1949, 2 
37, 12456, 1, 3800, 325, 669, 4045, 22 
38, 12456, 7022, 26687400, 16493228, 37659124, 25777874, 392354 
39, 12456, 1, 7600, 405, 729, 9783, 88 
40, 12456, 7236, 27504400, 18243668, 39522662, 26739201, 392202 
41, 12456, 2, 7600, 400, 729, 5930, 44 
42, 12456, 7159, 27204200, 18017779, 39278438, 26414765, 392248 
43, 12456, 3, 7600, 822, 2027, 12525, 108 
44, 12456, 6, 22800, 483, 1008, 6509, 41 
45, 12456, 1, 3800, 356, 721, 3473, 9 
46, 12456, 2, 11400, 475, 1008, 4763, 7 
47, 12456, 1, 3800, 347, 721, 3109, 3 
48, 12456, 3, 11400, 471, 1008, 4147, 5 
49, 12456, 18, 68400, 2652, 5228, 30870, 302 
50, 12456, 1, 3800, 345, 704, 2723, 3 
1, 12464, 3071, 11666000, 1017100, 2463700, 5349094, 31619 
51, 12456, 2, 11400, 356, 639, 7484, 64 
52, 12456, 1, 3800, 340, 704, 3105, 8 
1, 12465, 3204, 12179000, 1014770, 2463962, 5142725, 30398 
53, 12456, 3, 11400, 355, 639, 12238, 64 
54, 12456, 1, 3800, 339, 704, 3180, 11 
1, 12466, 3305, 12559000, 1016411, 2467015, 5235509, 32290 
55, 12456, 2, 7600, 369, 719, 7451, 62 
56, 12456, 1, 3800, 339, 705, 2387, 7 
57, 12456, 0, 3800, 333, 705, 1974, 4 
58, 12456, 1, 3800, 324, 669, 3484, 20 
59, 12456, 7146, 27162400, 16654146, 37567858, 26232154, 392242 
60, 12456, 2, 3800, 393, 729, 5916, 41 
61, 12456, 7135, 27113000, 18363026, 39193315, 26347055, 392119 
62, 12456, 2, 3800, 393, 729, 5998, 46 
63, 12456, 7142, 27135800, 18114426, 39110008, 26365237, 392221 
64, 12456, 3, 7600, 798, 2027, 11496, 110 
65, 12456, 6, 22800, 484, 1008, 6884, 34 
