#ProfileFileVersion=2.6
#ProfilerVersion=2.6.2153
#Application=/home/lifxu/Desktop/github-test/PIM/rodinia/kmeans/kmeans
#ApplicationArgs=-o -i /home/lifxu/Desktop/Benchmarks/rodinia_2.3/data/kmeans/kdd_cup
#Device AMD A10-5800K APU with Radeon(tm) HD Graphics   Platform Vendor=Advanced Micro Devices, Inc.
#Device AMD A10-5800K APU with Radeon(tm) HD Graphics   Platform Name=AMD Accelerated Parallel Processing
#Device AMD A10-5800K APU with Radeon(tm) HD Graphics   Platform Version=OpenCL 1.2 AMD-APP (1124.2)
#Device AMD A10-5800K APU with Radeon(tm) HD Graphics   CLDriver Version=1124.2 (sse2,avx,fma4)
#Device AMD A10-5800K APU with Radeon(tm) HD Graphics   CLRuntime Version=OpenCL 1.2 AMD-APP (1124.2)
#Device AMD A10-5800K APU with Radeon(tm) HD Graphics   NumberAppAddressBits=64
#Device Tahiti Platform Vendor=Advanced Micro Devices, Inc.
#Device Tahiti Platform Name=AMD Accelerated Parallel Processing
#Device Tahiti Platform Version=OpenCL 1.2 AMD-APP (1124.2)
#Device Tahiti CLDriver Version=1124.2 (VM)
#Device Tahiti CLRuntime Version=OpenCL 1.2 AMD-APP (1124.2)
#Device Tahiti NumberAppAddressBits=32
#OS Version=CentOS release 6.4 (Final)
#DisplayName=
#ListSeparator=,
Method, ExecutionOrder, ThreadID, CallIndex, GlobalWorkSize, WorkGroupSize, Time, LocalMemSize, VGPRs, SGPRs, ScratchRegs, FCStacks, Wavefronts, VALUInsts, SALUInsts, VFetchInsts, SFetchInsts, VWriteInsts, LDSInsts, VALUUtilization, VALUBusy, SALUBusy, FetchSize, CacheHit, MemUnitBusy, MemUnitStalled, WriteUnitStalled, LDSBankConflict, WriteSize, GDSInsts
kmeans_swap__k1_Tahiti1, 1, 7503, 0, { 164864       1       1}, {  256     1     1},        15.41837, 0, 5, 16, 0, NA,      2576.00,       214.84,        38.97,        33.97,         8.00,        33.97,         0.00,        99.96,         1.59,         0.57,    344499.06,         1.65,        98.79,        38.16,         0.00,         0.00,     23655.16,         0.00
kmeans_swap__k1_Tahiti1, 2, 7504, 0, { 164864       1       1}, {  256     1     1},         1.90296, 0, 5, 16, 0, NA,      2576.00,       214.84,        38.97,        33.97,         8.00,        33.97,         0.00,        99.96,         0.91,         0.33,    344695.06,         1.58,        98.98,        39.48,         0.00,         0.00,     23672.22,         0.00
kmeans_swap__k1_Tahiti1, 3, 7505, 0, { 164864       1       1}, {  256     1     1},         2.05541, 0, 5, 16, 0, NA,      2576.00,       214.76,        38.96,        33.96,         8.00,        33.96,         0.00,       100.00,         0.93,         0.33,    344514.19,         1.40,        99.25,        39.10,         0.00,         0.00,     21768.62,         0.00
kmeans_kernel_c__k2_Tahiti1, 4, 7506, 0, { 164864       1       1}, {  256     1     1},         0.52622, 0, 12, 24, 0, NA,      2576.00,      1086.16,       212.84,       339.74,        11.00,         1.00,         0.00,        99.96,        18.15,         7.11,    110801.62,         4.61,        47.20,         0.06,         0.14,         0.00,       560.44,         0.00
kmeans_kernel_c__k2_Tahiti1, 5, 7507, 0, { 164864       1       1}, {  256     1     1},         0.53467, 0, 12, 24, 0, NA,      2576.00,      1086.16,       212.84,       339.74,        11.00,         1.00,         0.00,        99.96,        18.13,         7.10,    110778.12,         5.00,        46.81,         0.07,         0.00,         0.00,       562.25,         0.00
kmeans_kernel_c__k2_Tahiti1, 6, 7508, 0, { 164864       1       1}, {  256     1     1},         0.52104, 0, 12, 24, 0, NA,      2576.00,      1085.74,       212.76,       339.60,        11.00,         1.00,         0.00,       100.00,        18.34,         7.19,    109355.44,         0.06,        46.73,         0.07,         0.14,         0.00,       566.00,         0.00
kmeans_kernel_c__k2_Tahiti1, 7, 7509, 0, { 164864       1       1}, {  256     1     1},         0.53837, 0, 12, 24, 0, NA,      2576.00,      1086.16,       212.84,       339.74,        11.00,         1.00,         0.00,        99.96,        17.97,         7.04,    110393.25,         5.18,        46.00,         0.06,         0.14,         0.00,       607.94,         0.00
kmeans_kernel_c__k2_Tahiti1, 8, 7510, 0, { 164864       1       1}, {  256     1     1},         0.52756, 0, 12, 24, 0, NA,      2576.00,      1086.16,       212.84,       339.74,        11.00,         1.00,         0.00,        99.96,        17.90,         7.01,    111096.56,         4.52,        45.50,         0.07,         0.01,         0.00,       554.38,         0.00
kmeans_kernel_c__k2_Tahiti1, 9, 7511, 0, { 164864       1       1}, {  256     1     1},         0.51126, 0, 12, 24, 0, NA,      2576.00,      1085.74,       212.76,       339.60,        11.00,         1.00,         0.00,       100.00,        18.80,         7.37,    109356.62,         0.06,        47.71,         0.11,         0.00,         0.00,       566.38,         0.00
kmeans_kernel_c__k2_Tahiti1, 10, 7512, 0, { 164864       1       1}, {  256     1     1},         0.54948, 0, 12, 24, 0, NA,      2576.00,      1086.16,       212.84,       339.74,        11.00,         1.00,         0.00,        99.96,        18.06,         7.08,    110862.50,         4.67,        47.64,         0.07,         0.00,         0.00,       675.47,         0.00
