DeviceID, ThreadID, FunctionName, StartTime_ns, EndTime_ns
ehp-cpu0, 21300, NA, 0, 1176543
ehp-cpu0, 21300, NA, 1176543, 8558794
ehp-cpu0, 21300, NA, 8558794, 8583164
ehp-cpu0, 21300, NA, 8583164, 24779853
ehp-cpu0, 21300, NA, 24779853, 24832496
ehp-cpu0, 21300, NA, 24832496, 29472245
ehp-cpu0, 21300, NA, 29472245, 29496758
ehp-cpu0, 21300, NA, 29496758, 46122162
ehp-cpu0, 21300, NA, 46122162, 46174871
ehp-cpu0, 21300, NA, 46174871, 54112243
ehp-cpu0, 21300, NA, 54112243, 54164952
ehp-cpu0, 21300, NA, 54164952, 70475861
ehp-cpu0, 21300, NA, 70475861, 70528559
ehp-cpu0, 21300, NA, 70528559, 74968187
ehp-cpu0, 21300, NA, 74968187, 75021360
ehp-cpu0, 21300, NA, 75021360, 91046643
ehp-cpu0, 21300, NA, 91046643, 91099198
ehp-cpu0, 21300, NA, 91099198, 98779703
ehp-cpu0, 21300, NA, 98779703, 98832787
ehp-cpu0, 21300, NA, 98832787, 114543574
ehp-cpu0, 21300, NA, 114543574, 114596316
ehp-cpu0, 21300, NA, 114596316, 118951013
ehp-cpu0, 21300, NA, 118951013, 118975769
ehp-cpu0, 21300, NA, 118975769, 134858106
ehp-cpu0, 21300, NA, 134858106, 135043471
ehp-cpu0, 21300, NA, 135043471, 135089784
ehp-cpu0, 21300, NA, 135089784, 135142813
ehp-cpu0, 21300, NA, 135142813, 135167646
ehp-cpu0, 21300, NA, 135167646, 135249236
ehp-cpu0, 21300, NA, 135249236, 135274014
ehp-cpu0, 21300, NA, 135274014, 142996477
ehp-cpu0, 21300, NA, 142996477, 155868712
ehp-cpu0, 21300, NA, 155868712, 169221566
ehp-cpu0, 21300, NA, 169221566, 916113447

ehp-cpu1, NA, NA, NA, NA

ehp-cpu2, NA, NA, NA, NA

ehp-cpu3, NA, NA, NA, NA

ehp-gpu0, NA, NA, NA, NA

pim0-cpu0, NA, NA, NA, NA

pim0-cpu1, NA, NA, NA, NA

pim0-gpu0, 21302, kernel_gpu_pim, 135044471, 141101446

pim1-cpu0, NA, NA, NA, NA

pim1-gpu0, 21303, kernel_gpu_pim, 135143813, 141931632

pim2-cpu0, NA, NA, NA, NA

pim2-gpu0, 21304, kernel_gpu_pim, 135250236, 141283992

Total runtime: 916113447
