Exec_Order, ThreadId, elapsed_us, elapsed_uc, COMMIT_CYC, INSTRUCTIONS, CLOCK_CYC, L2_CACHE_MISS
1, 21300, 51, 186200, 25443, 66536, 167932, 940 
2, 21300, 306, 1159000, 123371, 226588, 717774, 20837 
3, 21300, 1, 7600, 381, 718, 7091, 44 
4, 21300, 681, 2591600, 295637, 522892, 1671220, 41975 
5, 21300, 2, 7600, 408, 718, 11169, 86 
6, 21300, 191, 725800, 74116, 135552, 446129, 12704 
7, 21300, 1, 3800, 368, 719, 6418, 35 
8, 21300, 696, 2641000, 295624, 522892, 1716157, 41835 
9, 21300, 2, 3800, 402, 724, 12448, 114 
10, 21300, 325, 1231200, 122259, 223617, 722783, 20730 
11, 21300, 2, 7600, 402, 718, 11883, 107 
12, 21300, 685, 2606800, 295643, 522892, 1598166, 41864 
13, 21300, 2, 3800, 403, 718, 11379, 100 
14, 21300, 184, 699200, 74127, 135552, 439341, 12693 
15, 21300, 2, 3800, 360, 719, 5660, 17 
16, 21300, 675, 2565000, 295635, 522892, 1684175, 41812 
17, 21300, 2, 7600, 416, 724, 12141, 103 
18, 21300, 316, 1197000, 122234, 223615, 749065, 20735 
19, 21300, 2, 3800, 368, 718, 5329, 19 
20, 21300, 664, 2523200, 295654, 522892, 1594209, 41853 
21, 21300, 2, 7600, 399, 718, 12480, 104 
22, 21300, 181, 691600, 74056, 135552, 433761, 12593 
23, 21300, 1, 3800, 346, 719, 3962, 7 
24, 21300, 670, 2542200, 295643, 522892, 1628919, 41867 
25, 21300, 7, 22800, 1327, 2744, 30575, 311 
26, 21300, 2, 7600, 982, 2360, 12932, 74 
1, 21302, 5264, 20003200, 1682227, 4703850, 9164904, 44194 
27, 21300, 2, 7600, 373, 654, 6994, 66 
28, 21300, 1, 3800, 339, 704, 3252, 6 
1, 21303, 4184, 15899200, 1037854, 2506356, 6468207, 33263 
29, 21300, 3, 7600, 374, 654, 8560, 68 
30, 21300, 1, 3800, 344, 704, 4081, 7 
1, 21304, 3987, 15154400, 1038670, 2506269, 6229774, 36417 
31, 21300, 385, 1459200, 297186, 527994, 1404895, 42481 
32, 21300, 902, 3423800, 1169616, 2667321, 2447427, 58759 
33, 21300, 919, 3488400, 1170078, 2668020, 2444059, 58657 
34, 21300, 166764, 633703200, 364307731, 996102878, 593301124, 129019 
