DeviceID, ThreadID, FunctionName, StartTime_ns, EndTime_ns
ehp-cpu0, 26900, NA, 0, 958025
ehp-cpu0, 26900, NA, 958025, 3202519
ehp-cpu0, 26900, NA, 3202519, 3255636
ehp-cpu0, 26900, NA, 3255636, 4770882
ehp-cpu0, 26900, NA, 4770882, 4872727
ehp-cpu0, 26900, NA, 4872727, 4947622
ehp-cpu0, 26900, NA, 4947622, 5000982
ehp-cpu0, 26900, NA, 5000982, 5025760
ehp-cpu0, 26900, NA, 5025760, 5286075
ehp-cpu0, 26900, NA, 5286075, 6405445
ehp-cpu0, 26900, NA, 6405445, 6430035
ehp-cpu0, 26900, NA, 6430035, 7321760
ehp-cpu0, 26900, NA, 7321760, 8868725

ehp-cpu1, NA, NA, NA, NA

ehp-cpu2, NA, NA, NA, NA

ehp-cpu3, NA, NA, NA, NA

ehp-gpu0, NA, NA, NA, NA

pim0-cpu0, NA, NA, NA, NA

pim0-cpu1, NA, NA, NA, NA

pim0-gpu0, 26903, NearestNeighbor, 4873727, 4875961

pim1-cpu0, NA, NA, NA, NA

pim1-gpu0, 26904, NearestNeighbor, 5001982, 5004218

pim2-cpu0, NA, NA, NA, NA

Total runtime: 8868725
