Exec_Order, ThreadId, elapsed_us, elapsed_uc, COMMIT_CYC, INSTRUCTIONS, CLOCK_CYC, L2_CACHE_MISS
1, 7733, 36, 133000, 13950, 35841, 106435, 658 
2, 7733, 63, 235600, 21448, 40210, 159600, 3733 
3, 7733, 1, 7600, 372, 730, 4914, 11 
4, 7733, 44, 167200, 20279, 37203, 97807, 1947 
5, 7733, 1, 3800, 358, 730, 4013, 2 
6, 7733, 41, 155800, 20275, 37199, 99374, 1799 
7, 7733, 3, 11400, 1117, 2711, 11258, 54 
8, 7733, 3, 7600, 973, 2360, 15108, 85 
1, 7736, 3822, 14527400, 1361963, 3590751, 7186132, 27764 
9, 7733, 1, 7600, 342, 626, 6782, 44 
10, 7733, 1, 3800, 346, 704, 3437, 8 
1, 7737, 2682, 10187800, 1001966, 2434892, 5027293, 28803 
11, 7733, 2, 7600, 344, 626, 6587, 48 
12, 7733, 3, 3800, 345, 704, 3516, 13 
1, 7738, 2732, 10381600, 1006457, 2445890, 5070773, 27209 
13, 7733, 11, 38000, 2531, 5993, 38317, 427 
14, 7733, 29, 106400, 9632, 17595, 72992, 1839 
15, 7733, 1, 3800, 354, 722, 3237, 2 
16, 7733, 27, 106400, 9645, 17595, 71594, 1796 
17, 7733, 1, 3800, 351, 722, 3319, 3 
18, 7733, 27, 102600, 9606, 17591, 68057, 1788 
19, 7733, 80, 300200, 73655, 159542, 286944, 1409 
