Exec_Order, ThreadId, elapsed_us, elapsed_uc, COMMIT_CYC, INSTRUCTIONS, CLOCK_CYC, L2_CACHE_MISS
1, 6555, 50, 182400, 19869, 52514, 183988, 972 
2, 6555, 6145, 23351000, 3038676, 5040195, 14859762, 280996 
3, 6555, 2, 3800, 401, 719, 11064, 93 
4, 6555, 5864, 22279400, 3037428, 5037223, 14323260, 280778 
5, 6555, 2, 7600, 405, 721, 12269, 99 
6, 6555, 6000, 22800000, 3037377, 5037219, 15132492, 283473 
7, 6555, 2, 3800, 403, 719, 12021, 102 
8, 6555, 5791, 22009600, 3037352, 5037219, 14292982, 281094 
9, 6555, 3, 7600, 404, 721, 12185, 108 
10, 6555, 6425, 24418800, 3037445, 5037221, 16352368, 292967 
11, 6555, 2, 7600, 402, 719, 11529, 96 
12, 6555, 6038, 22944400, 3037362, 5037220, 14960060, 287860 
13, 6555, 28, 106400, 6174, 14740, 68316, 497 
14, 6555, 3, 7600, 972, 2360, 15480, 92 
1, 6557, 6698, 25452400, 1690224, 4741068, 9359765, 46733 
15, 6555, 17894, 68001000, 3035297, 5043878, 23814068, 299804 
16, 6555, 8246, 31331000, 8417823, 25195504, 23138011, 525372 
17, 6555, 8892, 33793400, 8417876, 25195249, 25566783, 525325 
18, 6555, 14897, 56608600, 14476356, 35260091, 46299390, 1082466 
19, 6555, 3212, 12201800, 3033305, 5033121, 12140185, 280107 
20, 6555, 3147, 11958600, 3033258, 5033121, 11890135, 280064 
21, 6555, 16, 60800, 4005, 9552, 28194, 199 
22, 6555, 1, 3800, 341, 704, 2722, 6 
1, 6558, 3770, 14326000, 1021194, 2473332, 5752675, 31818 
23, 6555, 2, 7600, 376, 661, 7041, 65 
24, 6555, 1, 3800, 342, 704, 3377, 10 
1, 6559, 4396, 16708600, 1029340, 2489708, 5929184, 33465 
25, 6555, 9014, 34257000, 3027137, 5035725, 22816197, 269759 
26, 6555, 8259, 31384200, 8417804, 25195503, 23366900, 525420 
27, 6555, 8276, 31448800, 8417809, 25195500, 23532454, 525436 
28, 6555, 15390, 58482000, 14475771, 35260747, 50095420, 1078520 
29, 6555, 3150, 11970000, 3033234, 5033121, 11899589, 280076 
30, 6555, 3170, 12042200, 3033250, 5033121, 11985591, 280093 
31, 6555, 14, 57000, 4018, 9525, 28830, 225 
32, 6555, 1, 3800, 341, 704, 2765, 3 
1, 6560, 3945, 14994800, 1021423, 2472847, 5470156, 31460 
33, 6555, 2, 7600, 375, 661, 7450, 65 
34, 6555, 1, 3800, 342, 704, 2970, 10 
1, 6561, 4432, 16837800, 1023511, 2476631, 6028378, 33572 
35, 6555, 2, 7600, 376, 661, 7555, 67 
36, 6555, 1, 3800, 344, 704, 3578, 10 
1, 6562, 4425, 16815000, 1028440, 2484855, 5818510, 34646 
37, 6555, 3118, 11844600, 3026019, 5035013, 11772632, 279593 
38, 6555, 9189, 34922000, 8417888, 25195504, 26682975, 525417 
39, 6555, 9892, 37585800, 8417820, 25195504, 29480744, 525369 
40, 6555, 15205, 57779000, 14475733, 35261001, 49681673, 1078347 
41, 6555, 3151, 11973800, 3033244, 5033121, 11915391, 280133 
42, 6555, 3181, 12087800, 3033293, 5033121, 12029251, 280202 
43, 6555, 16, 57000, 4018, 9547, 28543, 199 
44, 6555, 1, 3800, 339, 704, 2875, 7 
1, 6563, 4387, 16670600, 1022776, 2476913, 6075231, 34418 
45, 6555, 2, 7600, 380, 661, 6523, 67 
46, 6555, 1, 3800, 346, 704, 2921, 9 
1, 6564, 4265, 16210800, 1024365, 2481525, 6136281, 33315 
47, 6555, 2, 7600, 379, 661, 6994, 67 
48, 6555, 1, 3800, 346, 704, 3416, 9 
1, 6565, 4467, 16974600, 1023385, 2477048, 5698118, 33272 
49, 6555, 3149, 11970000, 3026074, 5035049, 11862438, 279616 
50, 6555, 8384, 31855400, 8417821, 25195760, 23662269, 525564 
51, 6555, 8408, 31950400, 8417822, 25195500, 23646928, 525430 
52, 6555, 14995, 56981000, 14475722, 35261000, 48885684, 1078215 
53, 6555, 3253, 12361400, 3033233, 5033121, 12054884, 280169 
54, 6555, 3179, 12076400, 3033338, 5033121, 12018430, 280108 
55, 6555, 15, 53200, 4026, 9552, 29552, 225 
56, 6555, 1, 3800, 345, 704, 2603, 4 
1, 6566, 3936, 14953000, 1022578, 2477540, 5688202, 31819 
57, 6555, 1, 7600, 378, 661, 6657, 63 
58, 6555, 1, 3800, 344, 704, 3428, 13 
1, 6567, 3889, 14778200, 1021233, 2476279, 5633401, 29795 
59, 6555, 2, 3800, 380, 661, 6579, 61 
60, 6555, 1, 3800, 344, 704, 2981, 9 
1, 6568, 4008, 15234200, 1023266, 2481294, 5479796, 30842 
61, 6555, 3161, 12015600, 3026066, 5035051, 11861555, 279573 
62, 6555, 8354, 31745200, 8417827, 25195759, 23560476, 525472 
63, 6555, 8510, 32338000, 8417834, 25195754, 24244232, 525533 
64, 6555, 14885, 56563000, 14475761, 35260999, 48477950, 1078336 
65, 6555, 3150, 11966200, 3033276, 5033121, 11921538, 280162 
66, 6555, 3175, 12061200, 3033286, 5033121, 11999275, 280135 
67, 6555, 15, 53200, 4021, 9525, 28444, 226 
68, 6555, 0, 3800, 346, 704, 2739, 3 
1, 6569, 4253, 16157600, 1024635, 2479936, 5961410, 34827 
69, 6555, 2, 7600, 377, 661, 7334, 63 
70, 6555, 3, 15200, 343, 704, 12167, 10 
1, 6570, 4482, 17031600, 1025509, 2482535, 5899172, 33080 
71, 6555, 2, 7600, 379, 661, 7271, 68 
72, 6555, 1, 3800, 340, 704, 3013, 12 
1, 6571, 4192, 15929600, 1025059, 2484564, 6062827, 32263 
73, 6555, 3009, 11434200, 3026208, 5035049, 11349368, 279686 
74, 6555, 8388, 31874400, 8417804, 25195758, 23595100, 525521 
75, 6555, 8548, 32482400, 8417781, 25195757, 24367174, 525612 
76, 6555, 14925, 56718800, 14475737, 35261257, 48638734, 1078439 
77, 6555, 3150, 11973800, 3033253, 5033121, 11912262, 280167 
78, 6555, 3213, 12213200, 3033308, 5033122, 12142440, 280138 
79, 6555, 15, 53200, 4033, 9547, 28742, 217 
80, 6555, 1, 3800, 345, 704, 2711, 5 
1, 6572, 4455, 16932800, 1027488, 2485351, 6191274, 35400 
81, 6555, 2, 7600, 376, 661, 6903, 65 
82, 6555, 1, 3800, 340, 704, 2916, 8 
1, 6573, 3811, 14481800, 1025350, 2485248, 5504911, 32658 
83, 6555, 2, 7600, 377, 661, 7126, 66 
84, 6555, 1, 3800, 345, 704, 2961, 10 
1, 6574, 4183, 15895400, 1025428, 2483482, 5766314, 33049 
85, 6555, 3225, 12255000, 3026173, 5035086, 12179224, 279586 
86, 6555, 8218, 31228400, 8417754, 25196013, 23184661, 525659 
87, 6555, 9974, 37901200, 8417834, 25195755, 29914314, 525521 
88, 6555, 14977, 56908800, 14476637, 35261255, 48616371, 1078268 
89, 6555, 3141, 11935800, 3033223, 5033121, 11876264, 280072 
90, 6555, 3176, 12065000, 3033286, 5033121, 12006873, 280094 
91, 6555, 15, 57000, 4037, 9552, 29541, 213 
92, 6555, 1, 3800, 346, 704, 2844, 5 
1, 6575, 4476, 17012600, 1027068, 2482992, 5908531, 36136 
93, 6555, 1, 7600, 380, 661, 6696, 63 
94, 6555, 1, 3800, 345, 704, 3088, 9 
1, 6576, 4174, 15865000, 1026957, 2482774, 6109229, 35312 
95, 6555, 2, 7600, 379, 661, 7254, 65 
96, 6555, 4, 11400, 342, 704, 11444, 11 
1, 6577, 4618, 17544600, 1027349, 2485347, 6367059, 35678 
97, 6555, 3096, 11768600, 3026193, 5035086, 11654565, 279595 
98, 6555, 8369, 31806000, 8417814, 25196015, 23550454, 525623 
99, 6555, 9308, 35370400, 8417769, 25196016, 26699067, 525666 
100, 6555, 14798, 56232400, 14476823, 35261255, 48320511, 1078745 
101, 6555, 3115, 11840800, 3033198, 5033121, 11785077, 280041 
102, 6555, 3168, 12038400, 3033226, 5033121, 11983800, 280128 
103, 6555, 14, 53200, 4018, 9525, 27718, 221 
104, 6555, 1, 3800, 345, 704, 2980, 3 
1, 6578, 4688, 17818200, 1026509, 2483634, 6378325, 34474 
105, 6555, 2, 7600, 379, 661, 7008, 65 
106, 6555, 1, 3800, 342, 704, 3147, 7 
1, 6579, 4637, 17616800, 1027478, 2482712, 5810397, 36426 
107, 6555, 2, 7600, 374, 661, 7085, 63 
108, 6555, 1, 3800, 340, 704, 3175, 10 
1, 6580, 4291, 16309600, 1027446, 2486560, 5834998, 34661 
109, 6555, 3106, 11806600, 3026162, 5035085, 11726517, 279601 
110, 6555, 8437, 32056800, 8417796, 25196014, 23671752, 525649 
111, 6555, 8503, 32315200, 8417768, 25196009, 24348359, 525707 
112, 6555, 14951, 56810000, 14475687, 35261511, 48798170, 1078544 
113, 6555, 3151, 11973800, 3033244, 5033121, 11906820, 280037 
114, 6555, 3167, 12034600, 3033240, 5033121, 11965524, 280074 
115, 6555, 15, 57000, 4069, 9639, 30113, 219 
116, 6555, 1, 3800, 343, 704, 2633, 6 
1, 6581, 4199, 15956200, 1023516, 2481296, 6162233, 32197 
117, 6555, 2, 7600, 375, 661, 7336, 60 
118, 6555, 1, 3800, 342, 704, 3249, 11 
1, 6582, 4336, 16476800, 1024093, 2479555, 5783666, 34558 
119, 6555, 2, 7600, 380, 661, 7456, 68 
120, 6555, 3, 11400, 343, 704, 10990, 10 
1, 6583, 4627, 17582600, 1025907, 2479619, 6223930, 36610 
121, 6555, 3127, 11882600, 3026021, 5035085, 11808645, 279556 
122, 6555, 9383, 35655400, 8417860, 25196271, 26799768, 525708 
123, 6555, 8333, 31661600, 8417766, 25196016, 23628145, 525772 
124, 6555, 14955, 56829000, 14475743, 35261512, 48664148, 1078909 
125, 6555, 3149, 11966200, 3033248, 5033121, 11912184, 280128 
126, 6555, 3208, 12190400, 3033256, 5033121, 12128914, 280106 
127, 6555, 14, 57000, 4066, 9644, 29019, 219 
128, 6555, 1, 3800, 343, 704, 2618, 4 
1, 6584, 4000, 15200000, 1024349, 2482358, 6156289, 32822 
129, 6555, 2, 7600, 376, 661, 6819, 63 
130, 6555, 1, 3800, 343, 704, 3328, 8 
1, 6585, 3809, 14474200, 1024387, 2481581, 5635865, 32289 
131, 6555, 2, 7600, 379, 661, 6976, 65 
132, 6555, 1, 3800, 339, 704, 3287, 16 
1, 6586, 4216, 16020800, 1025556, 2483064, 5855637, 33748 
133, 6555, 3151, 11977600, 3026049, 5035085, 11901664, 279551 
134, 6555, 8365, 31783200, 8417776, 25196271, 23620986, 525778 
135, 6555, 8341, 31695800, 8417691, 25196265, 23576224, 525933 
136, 6555, 15209, 57794200, 14475592, 35261511, 48565764, 1078646 
137, 6555, 3129, 11886400, 3033258, 5033122, 11816654, 280074 
138, 6555, 3174, 12057400, 3033278, 5033121, 11992523, 280083 
139, 6555, 14, 57000, 4055, 9617, 28042, 214 
140, 6555, 1, 3800, 346, 704, 2742, 3 
