#ProfileFileVersion=2.6
#ProfilerVersion=2.6.2153
#Application=/home/lifxu/Desktop/github-test/PIM/rodinia/nw/nw.exe
#ApplicationArgs=2048 10 ./nw.cl
#Device AMD A10-5800K APU with Radeon(tm) HD Graphics   Platform Vendor=Advanced Micro Devices, Inc.
#Device AMD A10-5800K APU with Radeon(tm) HD Graphics   Platform Name=AMD Accelerated Parallel Processing
#Device AMD A10-5800K APU with Radeon(tm) HD Graphics   Platform Version=OpenCL 1.2 AMD-APP (1124.2)
#Device AMD A10-5800K APU with Radeon(tm) HD Graphics   CLDriver Version=1124.2 (sse2,avx,fma4)
#Device AMD A10-5800K APU with Radeon(tm) HD Graphics   CLRuntime Version=OpenCL 1.2 AMD-APP (1124.2)
#Device AMD A10-5800K APU with Radeon(tm) HD Graphics   NumberAppAddressBits=64
#Device Tahiti Platform Vendor=Advanced Micro Devices, Inc.
#Device Tahiti Platform Name=AMD Accelerated Parallel Processing
#Device Tahiti Platform Version=OpenCL 1.2 AMD-APP (1124.2)
#Device Tahiti CLDriver Version=1124.2 (VM)
#Device Tahiti CLRuntime Version=OpenCL 1.2 AMD-APP (1124.2)
#Device Tahiti NumberAppAddressBits=32
#OS Version=CentOS release 6.4 (Final)
#DisplayName=
#ListSeparator=,
Method, ExecutionOrder, ThreadID, CallIndex, GlobalWorkSize, WorkGroupSize, Time, LocalMemSize, VGPRs, SGPRs, ScratchRegs, FCStacks, Wavefronts, VALUInsts, SALUInsts, VFetchInsts, SFetchInsts, VWriteInsts, LDSInsts, VALUUtilization, VALUBusy, SALUBusy, FetchSize, CacheHit, MemUnitBusy, MemUnitStalled, WriteUnitStalled, LDSBankConflict, WriteSize, GDSInsts
nw_kernel1_pim__k1_Tahiti1, 1, 6557, 0, {     16       1       1}, {   16     1     1},         0.12815, 2304, 26, 22, 0, NA,         1.00,       426.00,       156.00,        19.00,        11.00,        16.00,       190.00,        16.53,         0.04,         0.03,         7.19,        10.27,         1.80,         0.05,         0.00,         0.01,         0.00,         0.00
nw_kernel1_pim__k1_Tahiti1, 2, 6558, 0, {     16       1       1}, {   16     1     1},         0.12000, 2304, 26, 22, 0, NA,         1.00,       426.00,       156.00,        19.00,        11.00,        16.00,       190.00,        16.53,         0.04,         0.03,         7.19,        10.27,         1.82,         0.05,         0.00,         0.01,         0.00,         0.00
nw_kernel1_pim__k1_Tahiti1, 3, 6559, 0, {     16       1       1}, {   16     1     1},         0.06015, 2304, 26, 22, 0, NA,         1.00,       426.00,       156.00,        19.00,        11.00,        16.00,       190.00,        16.53,         0.04,         0.03,         7.19,        10.27,         0.00,         0.00,         0.00,         0.01,         0.00,         0.00
nw_kernel1_pim__k1_Tahiti1, 4, 6560, 0, {     16       1       1}, {   16     1     1},         0.03496, 2304, 26, 22, 0, NA,         1.00,       426.00,       156.00,        19.00,        11.00,        16.00,       190.00,        16.53,         0.03,         0.02,         7.19,        10.27,         0.00,         0.00,         0.00,         0.01,         0.00,         0.00
nw_kernel1_pim__k1_Tahiti1, 5, 6561, 0, {     16       1       1}, {   16     1     1},         0.03481, 2304, 26, 22, 0, NA,         1.00,       426.00,       156.00,        19.00,        11.00,        16.00,       190.00,        16.53,         0.03,         0.02,         7.19,        10.27,         1.63,         0.05,         0.00,         0.01,         0.00,         0.00
nw_kernel1_pim__k1_Tahiti1, 6, 6562, 0, {     16       1       1}, {   16     1     1},         0.03511, 2304, 26, 22, 0, NA,         1.00,       426.00,       156.00,        19.00,        11.00,        16.00,       190.00,        16.53,         0.03,         0.02,         7.19,        10.27,         1.53,         0.04,         0.00,         0.01,         0.00,         0.00
nw_kernel1_pim__k1_Tahiti1, 7, 6563, 0, {     32       1       1}, {   16     1     1},         0.03511, 2304, 26, 22, 0, NA,         2.00,       426.00,       156.00,        19.00,        11.00,        16.00,       190.00,        16.53,         0.07,         0.05,        10.19,        33.22,         3.26,         0.09,         0.00,         0.02,         0.00,         0.00
nw_kernel1_pim__k1_Tahiti1, 8, 6564, 0, {     16       1       1}, {   16     1     1},         0.03481, 2304, 26, 22, 0, NA,         1.00,       426.00,       156.00,        19.00,        11.00,        16.00,       190.00,        16.53,         0.03,         0.02,         7.19,        10.27,         1.63,         0.05,         0.00,         0.01,         0.00,         0.00
nw_kernel1_pim__k1_Tahiti1, 9, 6565, 0, {     16       1       1}, {   16     1     1},         0.03526, 2304, 26, 22, 0, NA,         1.00,       426.00,       156.00,        19.00,        11.00,        16.00,       190.00,        16.53,         0.04,         0.03,         7.19,        10.27,         0.00,         0.05,         0.00,         0.01,         0.00,         0.00
nw_kernel1_pim__k1_Tahiti1, 10, 6566, 0, {     32       1       1}, {   16     1     1},         0.03511, 2304, 26, 22, 0, NA,         2.00,       426.00,       156.00,        19.00,        11.00,        16.00,       190.00,        16.53,         0.07,         0.05,        10.19,        33.22,         3.40,         0.09,         0.00,         0.02,         0.00,         0.00
nw_kernel1_pim__k1_Tahiti1, 11, 6567, 0, {     32       1       1}, {   16     1     1},         0.03481, 2304, 26, 22, 0, NA,         2.00,       426.00,       156.00,        19.00,        11.00,        16.00,       190.00,        16.53,         0.08,         0.06,        10.19,        33.22,         0.00,         0.00,         0.00,         0.02,         0.00,         0.00
nw_kernel1_pim__k1_Tahiti1, 12, 6568, 0, {     16       1       1}, {   16     1     1},         0.03496, 2304, 26, 22, 0, NA,         1.00,       426.00,       156.00,        19.00,        11.00,        16.00,       190.00,        16.53,         0.03,         0.02,         7.19,        10.27,         0.00,         0.00,         0.00,         0.01,         0.00,         0.00
nw_kernel1_pim__k1_Tahiti1, 13, 6569, 0, {     32       1       1}, {   16     1     1},         0.03422, 2304, 26, 22, 0, NA,         2.00,       426.00,       156.00,        19.00,        11.00,        16.00,       190.00,        16.53,         0.08,         0.06,        10.19,        33.22,         1.98,         0.06,         0.00,         0.02,         0.00,         0.00
