Exec_Order, ThreadId, elapsed_us, elapsed_uc, COMMIT_CYC, INSTRUCTIONS, CLOCK_CYC, L2_CACHE_MISS
1, 28866, 85, 319200, 36868, 84519, 286764, 3491 
2, 28866, 92, 349600, 30785, 57287, 231316, 5126 
3, 28866, 2, 3800, 399, 719, 12203, 94 
4, 28866, 6, 22800, 418, 861, 7261, 38 
5, 28866, 1, 3800, 342, 718, 3105, 4 
6, 28866, 79, 304000, 28935, 52994, 175875, 5072 
7, 28866, 1, 0, 354, 719, 3476, 1 
8, 28866, 78, 300200, 28919, 52994, 178357, 5041 
9, 28866, 1, 3800, 355, 719, 3486, 1 
10, 28866, 80, 304000, 28916, 52994, 179821, 5041 
11, 28866, 1, 3800, 351, 719, 3835, 3 
12, 28866, 37, 140600, 13881, 25474, 93917, 2520 
13, 28866, 1, 0, 352, 719, 3310, 1 
14, 28866, 76, 288800, 28913, 52994, 182320, 5035 
15, 28866, 1, 3800, 347, 719, 4057, 2 
16, 28866, 84, 323000, 28923, 52994, 192845, 5029 
17, 28866, 1, 0, 351, 719, 3309, 8 
18, 28866, 85, 323000, 28917, 52994, 197642, 5044 
19, 28866, 1, 3800, 349, 718, 4078, 5 
20, 28866, 72, 273600, 28923, 52994, 180565, 5012 
21, 28866, 0, 3800, 351, 719, 3141, 0 
22, 28866, 79, 300200, 28918, 52994, 179375, 5035 
23, 28866, 1, 3800, 351, 719, 3486, 3 
24, 28866, 16, 60800, 485, 862, 16442, 150 
25, 28866, 3, 7600, 413, 720, 12061, 105 
26, 28866, 83, 315400, 28942, 52994, 177247, 5110 
27, 28866, 8, 34200, 637, 1200, 9477, 46 
28, 28866, 649, 2470000, 237866, 427816, 1413998, 35604 
29, 28866, 7, 22800, 1395, 2799, 26064, 266 
30, 28866, 3, 7600, 977, 2360, 13215, 85 
1, 28868, 5870, 22309800, 1936232, 5568202, 10050233, 39801 
31, 28866, 7, 30400, 875, 2038, 24361, 239 
32, 28866, 74, 281200, 20600, 80767, 160112, 2518 
33, 28866, 43, 159600, 29549, 54507, 146168, 5128 
34, 28866, 106, 399000, 117838, 265674, 266679, 2568 
35, 28866, 2, 7600, 404, 727, 5684, 31 
36, 28866, 1, 3800, 346, 704, 2815, 3 
1, 28869, 3414, 12973200, 1555995, 4418432, 6829872, 32888 
37, 28866, 43, 163400, 29285, 53909, 161701, 5180 
38, 28866, 120, 452200, 117870, 265667, 324241, 4234 
39, 28866, 30, 110200, 29220, 53762, 110525, 2566 
40, 28866, 103, 387600, 117830, 265668, 267339, 2539 
41, 28866, 29, 106400, 29208, 53762, 107509, 2553 
42, 28866, 100, 380000, 117829, 265668, 258785, 2518 
43, 28866, 30, 117800, 29209, 53762, 115367, 2532 
44, 28866, 96, 364800, 117832, 265668, 272321, 2550 
45, 28866, 57, 212800, 85543, 232726, 177651, 1009 
46, 28866, 0, 3800, 348, 704, 3040, 4 
1, 28870, 3681, 13987800, 1577602, 4459173, 7300767, 36596 
47, 28866, 7, 26600, 473, 875, 21287, 187 
48, 28866, 595, 2264800, 237837, 427814, 1383578, 36732 
49, 28866, 2, 7600, 496, 793, 9159, 95 
50, 28866, 1, 3800, 345, 704, 3172, 3 
1, 28871, 4571, 17369800, 1086736, 2617834, 6529115, 34973 
