#ProfileFileVersion=2.6
#ProfilerVersion=2.6.2153
#Application=/home/lifxu/Desktop/github/PIM/rodinia/particlefilter/OCL_particlefilter_double
#ApplicationArgs=-x 128 -y 128 -z 10 -np 20000
#Device AMD A10-5800K APU with Radeon(tm) HD Graphics   Platform Vendor=Advanced Micro Devices, Inc.
#Device AMD A10-5800K APU with Radeon(tm) HD Graphics   Platform Name=AMD Accelerated Parallel Processing
#Device AMD A10-5800K APU with Radeon(tm) HD Graphics   Platform Version=OpenCL 1.2 AMD-APP (1124.2)
#Device AMD A10-5800K APU with Radeon(tm) HD Graphics   CLDriver Version=1124.2 (sse2,avx,fma4)
#Device AMD A10-5800K APU with Radeon(tm) HD Graphics   CLRuntime Version=OpenCL 1.2 AMD-APP (1124.2)
#Device AMD A10-5800K APU with Radeon(tm) HD Graphics   NumberAppAddressBits=64
#Device Tahiti Platform Vendor=Advanced Micro Devices, Inc.
#Device Tahiti Platform Name=AMD Accelerated Parallel Processing
#Device Tahiti Platform Version=OpenCL 1.2 AMD-APP (1124.2)
#Device Tahiti CLDriver Version=1124.2 (VM)
#Device Tahiti CLRuntime Version=OpenCL 1.2 AMD-APP (1124.2)
#Device Tahiti NumberAppAddressBits=32
#OS Version=CentOS release 6.4 (Final)
#DisplayName=
#ListSeparator=,
Method, ExecutionOrder, ThreadID, CallIndex, GlobalWorkSize, WorkGroupSize, Time, LocalMemSize, VGPRs, SGPRs, ScratchRegs, FCStacks, Wavefronts, VALUInsts, SALUInsts, VFetchInsts, SFetchInsts, VWriteInsts, LDSInsts, VALUUtilization, VALUBusy, SALUBusy, FetchSize, CacheHit, MemUnitBusy, MemUnitStalled, WriteUnitStalled, LDSBankConflict, WriteSize, GDSInsts
likelihood_kernel_pim__k1_Tahiti1, 1, 28868, 0, {  20224       1       1}, {  256     1     1},         7.66222, 2048, 66, 54, 0, NA,       316.00,      6109.56,       220.08,       286.26,        32.18,        79.49,        17.98,        99.71,         3.52,         0.12,     63355.19,        24.53,        95.71,        68.35,        46.83,         0.00,     44705.31,         0.00
normalize_weights_kernel_pim__k2_Tahiti1, 2, 28869, 0, {  20224       1       1}, {  256     1     1},         8.43985, 128, 30, 28, 0, NA,       316.00,       470.29,        72.31,        65.28,        11.01,        65.28,         1.99,        33.88,         0.10,         0.02,       192.31,        72.49,         0.02,         0.00,         0.01,         0.00,       512.19,         0.00
find_index_kernel_pim__k3_Tahiti1, 3, 28870, 0, {  20224       1       1}, {  256     1     1},         8.33911, 0, 7, 24, 0, NA,       316.00,     96947.55,     67861.47,      9695.84,        15.94,         1.98,         0.00,        84.09,        16.28,        17.54,      8529.31,        34.03,        40.63,         0.00,         0.01,         0.00,        65.50,         0.00
likelihood_kernel_pim__k1_Tahiti1, 4, 28871, 0, {  20224       1       1}, {  256     1     1},         1.38459, 2048, 66, 54, 0, NA,       316.00,      6109.56,       220.08,       286.26,        32.18,        79.49,        17.98,        99.71,        10.30,         0.34,     64279.62,        23.77,        93.41,        61.70,        29.96,         0.00,     44776.69,         0.00
normalize_weights_kernel_pim__k2_Tahiti1, 5, 28872, 0, {  20224       1       1}, {  256     1     1},         7.27570, 128, 30, 28, 0, NA,       316.00,       470.29,        72.31,        65.28,        11.01,        65.28,         1.99,        33.88,         0.10,         0.02,       159.81,        74.95,         0.02,         0.00,         0.00,         0.00,       655.03,         0.00
find_index_kernel_pim__k3_Tahiti1, 6, 28873, 0, {  20224       1       1}, {  256     1     1},         8.26578, 0, 7, 24, 0, NA,       316.00,    100076.60,     70051.61,     10008.74,        15.94,         1.98,         0.00,        84.08,        17.06,        18.37,       320.81,        86.38,        42.50,         0.00,         0.00,         0.00,       521.69,         0.00
likelihood_kernel_pim__k1_Tahiti1, 7, 28874, 0, {  20224       1       1}, {  256     1     1},         1.38370, 2048, 66, 54, 0, NA,       316.00,      6109.56,       220.08,       286.26,        32.18,        79.49,        17.98,        99.71,        10.31,         0.34,     64581.12,        23.48,        91.39,        60.51,        30.67,         0.00,     44781.44,         0.00
normalize_weights_kernel_pim__k2_Tahiti1, 8, 28875, 0, {  20224       1       1}, {  256     1     1},         7.11807, 128, 30, 28, 0, NA,       316.00,       470.29,        72.31,        65.28,        11.01,        65.28,         1.99,        33.88,         0.10,         0.02,       306.75,        68.18,        19.65,         0.59,         0.01,         0.00,       564.56,         0.00
find_index_kernel_pim__k3_Tahiti1, 9, 28876, 0, {  20224       1       1}, {  256     1     1},         8.34563, 0, 7, 24, 0, NA,       316.00,     99703.62,     69790.52,      9971.45,        15.94,         1.98,         0.00,        84.06,        16.73,        18.02,       609.31,        79.80,        39.34,         0.00,         0.00,         0.00,       318.62,         0.00
likelihood_kernel_pim__k1_Tahiti1, 10, 28877, 0, {  20224       1       1}, {  256     1     1},         1.39674, 2048, 66, 54, 0, NA,       316.00,      6109.56,       220.08,       286.26,        32.18,        79.49,        17.98,        99.71,        10.26,         0.34,     65532.94,        23.13,        93.58,        59.67,        29.25,         0.00,     44792.12,         0.00
normalize_weights_kernel_pim__k2_Tahiti1, 11, 28878, 0, {  20224       1       1}, {  256     1     1},         7.17718, 128, 30, 28, 0, NA,       316.00,       470.29,        72.31,        65.28,        11.01,        65.28,         1.99,        33.88,         0.10,         0.02,       159.88,        74.95,        20.50,         0.62,         0.00,         0.00,       167.69,         0.00
find_index_kernel_pim__k3_Tahiti1, 12, 28879, 0, {  20224       1       1}, {  256     1     1},         8.33674, 0, 7, 24, 0, NA,       316.00,    109023.05,     76314.12,     10903.39,        15.94,         1.98,         0.00,        84.12,        18.30,        19.71,       323.06,        86.69,        41.82,         0.00,         0.00,         0.00,       161.94,         0.00
likelihood_kernel_pim__k1_Tahiti1, 13, 28880, 0, {  20224       1       1}, {  256     1     1},         1.38563, 2048, 66, 54, 0, NA,       316.00,      6109.56,       220.08,       286.26,        32.18,        79.49,        17.98,        99.71,        10.25,         0.34,     64701.56,        23.37,        92.26,        58.03,        29.72,         0.00,     44755.41,         0.00
normalize_weights_kernel_pim__k2_Tahiti1, 14, 28881, 0, {  20224       1       1}, {  256     1     1},         7.17467, 128, 30, 28, 0, NA,       316.00,       470.29,        72.31,        65.28,        11.01,        65.28,         1.99,        33.88,         0.10,         0.02,       160.00,        74.94,         0.02,         0.00,         0.00,         0.00,       167.38,         0.00
find_index_kernel_pim__k3_Tahiti1, 15, 28882, 0, {  20224       1       1}, {  256     1     1},         8.39926, 0, 7, 24, 0, NA,       316.00,     93165.78,     65214.02,      9317.66,        15.94,         1.98,         0.00,        84.06,        15.48,        16.67,      8545.81,        33.39,        39.31,         0.00,         0.00,         0.00,       295.47,         0.00
likelihood_kernel_pim__k1_Tahiti1, 16, 28883, 0, {  20224       1       1}, {  256     1     1},         1.38489, 2048, 66, 54, 0, NA,       316.00,      6109.56,       220.08,       286.26,        32.18,        79.49,        17.98,        99.71,        10.10,         0.33,     64814.75,        22.30,        90.43,        59.88,        28.60,         0.00,     44783.31,         0.00
normalize_weights_kernel_pim__k2_Tahiti1, 17, 28884, 0, {  20224       1       1}, {  256     1     1},         7.17822, 128, 30, 28, 0, NA,       316.00,       470.29,        72.31,        65.28,        11.01,        65.28,         1.99,        33.88,         0.10,         0.02,       159.88,        74.95,         0.02,         0.00,         0.00,         0.00,       166.12,         0.00
find_index_kernel_pim__k3_Tahiti1, 18, 28885, 0, {  20224       1       1}, {  256     1     1},         8.40015, 0, 7, 24, 0, NA,       316.00,     99308.12,     69513.72,      9931.90,        15.94,         1.98,         0.00,        84.14,        16.53,        17.81,      8553.75,        34.82,        41.76,         0.00,         0.00,         0.00,       272.03,         0.00
likelihood_kernel_pim__k1_Tahiti1, 19, 28886, 0, {  20224       1       1}, {  256     1     1},         1.38593, 2048, 66, 54, 0, NA,       316.00,      6109.56,       220.08,       286.26,        32.18,        79.49,        17.98,        99.71,        10.28,         0.34,     64391.75,        23.62,        91.36,        59.45,        29.03,         0.00,     44733.91,         0.00
normalize_weights_kernel_pim__k2_Tahiti1, 20, 28887, 0, {  20224       1       1}, {  256     1     1},         7.17778, 128, 30, 28, 0, NA,       316.00,       470.29,        72.31,        65.28,        11.01,        65.28,         1.99,        33.88,         0.10,         0.02,       159.94,        74.94,        20.50,         0.62,         0.00,         0.00,       167.00,         0.00
find_index_kernel_pim__k3_Tahiti1, 21, 28888, 0, {  20224       1       1}, {  256     1     1},         8.30474, 0, 7, 24, 0, NA,       316.00,    112759.07,     78929.38,     11276.99,        15.94,         1.98,         0.00,        84.17,        18.92,        20.38,      8547.00,        35.41,        40.11,         0.00,         0.01,         0.00,       167.47,         0.00
likelihood_kernel_pim__k1_Tahiti1, 22, 28889, 0, {  20224       1       1}, {  256     1     1},         1.38963, 2048, 66, 54, 0, NA,       316.00,      6109.56,       220.08,       286.26,        32.18,        79.49,        17.98,        99.71,        10.26,         0.34,     65022.81,        23.48,        93.13,        60.64,        30.23,         0.00,     44765.44,         0.00
normalize_weights_kernel_pim__k2_Tahiti1, 23, 28890, 0, {  20224       1       1}, {  256     1     1},         7.17719, 128, 30, 28, 0, NA,       316.00,       470.29,        72.31,        65.28,        11.01,        65.28,         1.99,        33.88,         0.10,         0.02,       160.00,        74.94,        20.50,         0.62,         0.00,         0.00,       166.38,         0.00
find_index_kernel_pim__k3_Tahiti1, 24, 28891, 0, {  20224       1       1}, {  256     1     1},         8.26889, 0, 7, 24, 0, NA,       316.00,     98121.69,     68683.16,      9813.25,        15.94,         1.98,         0.00,        84.10,        16.57,        17.84,      8543.94,        33.67,        35.18,         0.00,         0.01,         0.00,       216.59,         0.00
likelihood_kernel_pim__k1_Tahiti1, 25, 28892, 0, {  20224       1       1}, {  256     1     1},         1.38756, 2048, 66, 54, 0, NA,       316.00,      6109.56,       220.08,       286.26,        32.18,        79.49,        17.98,        99.71,        10.36,         0.34,     64147.00,        24.12,        92.05,        59.96,        30.69,         0.00,     44770.88,         0.00
normalize_weights_kernel_pim__k2_Tahiti1, 26, 28893, 0, {  20224       1       1}, {  256     1     1},         7.08993, 128, 30, 28, 0, NA,       316.00,       470.29,        72.31,        65.28,        11.01,        65.28,         1.99,        33.88,         0.10,         0.02,       159.81,        74.95,         0.02,         0.00,         0.00,         0.00,       167.56,         0.00
find_index_kernel_pim__k3_Tahiti1, 27, 28894, 0, {  20224       1       1}, {  256     1     1},         8.29215, 0, 7, 24, 0, NA,       316.00,    114665.52,     80263.88,     11467.64,        15.94,         1.98,         0.00,        84.16,        19.39,        20.89,      8545.56,        35.52,        45.50,         0.00,         0.00,         0.00,       134.16,         0.00
