Exec_Order, ThreadId, elapsed_us, elapsed_uc, COMMIT_CYC, INSTRUCTIONS, CLOCK_CYC, L2_CACHE_MISS
1, 31803, 29, 106400, 19147, 46722, 113254, 720 
2, 31803, 2, 7600, 408, 721, 11803, 102 
3, 31803, 2, 7600, 405, 720, 12586, 112 
4, 31803, 2, 7600, 412, 720, 13402, 116 
5, 31803, 1, 3800, 355, 720, 3555, 4 
6, 31803, 25797, 98028600, 12660298, 20895019, 63977890, 1139022 
7, 31803, 2, 7600, 399, 718, 12363, 100 
8, 31803, 3, 7600, 402, 718, 13287, 103 
9, 31803, 2, 7600, 398, 718, 12459, 110 
10, 31803, 1, 3800, 353, 719, 4562, 14 
11, 31803, 1, 3800, 363, 724, 6442, 53 
12, 31803, 2, 3800, 405, 721, 12705, 114 
13, 31803, 2, 7600, 407, 720, 12168, 111 
14, 31803, 2, 3800, 407, 720, 12598, 112 
15, 31803, 1, 3800, 355, 720, 3407, 11 
16, 31803, 25538, 97048200, 12658218, 20890290, 63937537, 1139513 
17, 31803, 2, 7600, 397, 718, 12209, 109 
18, 31803, 3, 7600, 405, 718, 12713, 110 
19, 31803, 2, 7600, 397, 718, 12360, 108 
20, 31803, 1, 3800, 345, 719, 2811, 5 
21, 31803, 1, 7600, 358, 724, 4516, 26 
22, 31803, 2, 7600, 410, 721, 12484, 113 
23, 31803, 2, 7600, 408, 720, 12207, 109 
24, 31803, 2, 7600, 406, 720, 12902, 106 
25, 31803, 1, 3800, 351, 720, 3423, 8 
26, 31803, 24975, 94908800, 12658278, 20890294, 62599926, 1125176 
27, 31803, 2, 3800, 400, 718, 11964, 109 
28, 31803, 3, 7600, 400, 718, 13152, 113 
29, 31803, 2, 3800, 399, 718, 12446, 96 
30, 31803, 0, 3800, 342, 719, 2938, 7 
31, 31803, 10, 34200, 1284, 2775, 24928, 227 
32, 31803, 3, 11400, 981, 2360, 14519, 91 
1, 31806, 5187, 19710600, 1476558, 3953414, 8445385, 38756 
33, 31803, 1, 7600, 373, 657, 6458, 63 
34, 31803, 1, 3800, 342, 704, 3252, 6 
1, 31807, 8821, 33523600, 1034914, 2499598, 5707407, 33464 
35, 31803, 2, 7600, 375, 657, 7228, 72 
36, 31803, 2, 3800, 341, 704, 3336, 9 
1, 31808, 8728, 33170200, 1037493, 2508933, 5795803, 31598 
37, 31803, 37, 144400, 14799, 28869, 137236, 2989 
38, 31803, 176, 665000, 196929, 541871, 591652, 1044 
39, 31803, 179, 680200, 197022, 541984, 635778, 1040 
40, 31803, 189, 718200, 218874, 582098, 642425, 1075 
41, 31803, 8, 26600, 11146, 20485, 27213, 7 
42, 31803, 7, 26600, 11142, 20485, 27547, 4 
43, 31803, 1373, 5217400, 576630, 983389, 3420529, 66181 
44, 31803, 2544, 9674800, 2360784, 5824641, 7814459, 143176 
45, 31803, 2522, 9583600, 2360844, 5822708, 7627170, 143029 
46, 31803, 3574, 13581200, 3507886, 7767942, 11773245, 264660 
47, 31803, 645, 2447200, 573793, 981393, 2405321, 66153 
48, 31803, 649, 2466200, 573762, 981392, 2472320, 66103 
49, 31803, 850, 3226200, 184434, 398273, 652307, 2986 
50, 31803, 31, 117800, 11749, 26070, 111347, 935 
51, 31803, 2, 7600, 409, 721, 12409, 108 
52, 31803, 3, 7600, 410, 720, 13772, 128 
53, 31803, 2, 7600, 410, 720, 12895, 124 
54, 31803, 1, 15200, 352, 720, 3573, 3 
55, 31803, 24565, 93350800, 12492392, 20643888, 62377054, 1132964 
56, 31803, 1, 7600, 371, 718, 6781, 44 
57, 31803, 2, 7600, 400, 718, 11601, 102 
58, 31803, 2, 7600, 405, 718, 11790, 108 
59, 31803, 2, 3800, 348, 719, 4052, 7 
60, 31803, 1, 3800, 358, 724, 4562, 29 
61, 31803, 2, 7600, 413, 721, 13283, 118 
62, 31803, 3, 7600, 408, 720, 12851, 107 
63, 31803, 2, 3800, 408, 720, 11624, 109 
64, 31803, 1, 3800, 345, 720, 2749, 2 
65, 31803, 24833, 94373000, 12492307, 20643886, 62454742, 1147744 
66, 31803, 2, 7600, 399, 718, 12091, 113 
67, 31803, 2, 7600, 408, 718, 12571, 105 
68, 31803, 2, 3800, 398, 718, 12031, 105 
69, 31803, 1, 3800, 343, 719, 2962, 6 
70, 31803, 1, 7600, 354, 724, 3823, 26 
71, 31803, 3, 7600, 406, 721, 12972, 115 
72, 31803, 2, 7600, 406, 720, 11907, 112 
73, 31803, 3, 7600, 408, 720, 12699, 111 
74, 31803, 1, 3800, 350, 720, 3818, 10 
75, 31803, 26748, 101646200, 12492886, 20643888, 68615917, 1237517 
76, 31803, 1, 3800, 373, 718, 6496, 40 
77, 31803, 14, 7600, 401, 719, 15836, 105 
78, 31803, 3, 7600, 403, 718, 12849, 106 
79, 31803, 2, 3800, 387, 719, 8589, 79 
80, 31803, 2, 7600, 422, 742, 7801, 80 
81, 31803, 1, 3800, 345, 704, 2938, 7 
1, 31809, 9064, 34443200, 1037753, 2502946, 5937369, 35134 
82, 31803, 2, 7600, 372, 657, 7419, 70 
83, 31803, 1, 3800, 344, 704, 3272, 9 
1, 31810, 8981, 34127800, 1036467, 2504227, 5721714, 31978 
84, 31803, 2, 7600, 372, 657, 7167, 68 
85, 31803, 1, 3800, 343, 704, 3267, 8 
1, 31811, 8520, 32376000, 1036609, 2505569, 5595898, 30883 
86, 31803, 34, 133000, 15125, 29859, 126450, 2835 
87, 31803, 180, 684000, 196963, 541402, 638578, 1044 
88, 31803, 178, 676400, 196954, 541314, 632915, 1032 
89, 31803, 192, 733400, 218752, 581405, 655399, 1088 
90, 31803, 7, 26600, 11145, 20485, 26987, 16 
91, 31803, 7, 26600, 11142, 20485, 26062, 0 
92, 31803, 117, 444600, 97715, 179426, 443982, 16511 
