#ProfileFileVersion=2.6
#ProfilerVersion=2.6.2153
#Application=/home/lifxu/Desktop/github/PIM/rodinia/streamcluster/streamcluster.exe
#ApplicationArgs=10 20 256 65536 65536 1000 none output.txt 1 -t gpu -d 0
#Device AMD A10-5800K APU with Radeon(tm) HD Graphics   Platform Vendor=Advanced Micro Devices, Inc.
#Device AMD A10-5800K APU with Radeon(tm) HD Graphics   Platform Name=AMD Accelerated Parallel Processing
#Device AMD A10-5800K APU with Radeon(tm) HD Graphics   Platform Version=OpenCL 1.2 AMD-APP (1124.2)
#Device AMD A10-5800K APU with Radeon(tm) HD Graphics   CLDriver Version=1124.2 (sse2,avx,fma4)
#Device AMD A10-5800K APU with Radeon(tm) HD Graphics   CLRuntime Version=OpenCL 1.2 AMD-APP (1124.2)
#Device AMD A10-5800K APU with Radeon(tm) HD Graphics   NumberAppAddressBits=64
#Device Tahiti Platform Vendor=Advanced Micro Devices, Inc.
#Device Tahiti Platform Name=AMD Accelerated Parallel Processing
#Device Tahiti Platform Version=OpenCL 1.2 AMD-APP (1124.2)
#Device Tahiti CLDriver Version=1124.2 (VM)
#Device Tahiti CLRuntime Version=OpenCL 1.2 AMD-APP (1124.2)
#Device Tahiti NumberAppAddressBits=32
#OS Version=CentOS release 6.4 (Final)
#DisplayName=
#ListSeparator=,
Method, ExecutionOrder, ThreadID, CallIndex, GlobalWorkSize, WorkGroupSize, Time, LocalMemSize, VGPRs, SGPRs, ScratchRegs, FCStacks, Wavefronts, VALUInsts, SALUInsts, VFetchInsts, SFetchInsts, VWriteInsts, LDSInsts, VALUUtilization, VALUBusy, SALUBusy, FetchSize, CacheHit, MemUnitBusy, MemUnitStalled, WriteUnitStalled, LDSBankConflict, WriteSize, GDSInsts
pgain_kernel_pim__k1_Tahiti1, 1, 11202, 0, {  22016       1       1}, {  256     1     1},         0.46370, 1024, 7, 22, 0, NA,       344.00,      2333.47,       334.25,       325.00,        17.99,         2.99,       320.00,        78.18,         6.04,         1.73,     23517.00,         5.05,        18.30,         0.66,         0.13,         0.00,       408.62,         0.00
pgain_kernel_pim__k1_Tahiti1, 2, 11203, 0, {  22016       1       1}, {  256     1     1},         0.44518, 1024, 7, 22, 0, NA,       344.00,      2333.50,       334.25,       325.00,        18.00,         3.00,       320.00,        78.18,         5.61,         1.60,     23537.62,         9.89,        19.26,         0.61,         0.12,         0.00,       409.59,         0.00
pgain_kernel_pim__k1_Tahiti1, 3, 11204, 0, {  22016       1       1}, {  256     1     1},         0.44030, 1024, 7, 22, 0, NA,       344.00,      2322.93,       332.70,       323.48,        17.97,         2.98,       318.51,        77.92,         6.28,         1.79,     23405.44,        11.60,        15.01,         0.60,         0.00,         0.00,       481.62,         0.00
pgain_kernel_pim__k1_Tahiti1, 4, 11205, 0, {  22016       1       1}, {  256     1     1},         0.46519, 1024, 7, 22, 0, NA,       344.00,      2333.50,       334.25,       325.00,        18.00,         3.00,       320.00,        78.16,         6.00,         1.71,     22739.62,         4.27,        17.42,         0.04,         0.00,         0.00,        69.09,         0.00
pgain_kernel_pim__k1_Tahiti1, 5, 11206, 0, {  22016       1       1}, {  256     1     1},         0.47467, 1024, 7, 22, 0, NA,       344.00,      2333.50,       334.25,       325.00,        18.00,         3.00,       320.00,        78.16,         5.83,         1.67,     22754.69,        10.11,        17.96,         0.05,         0.03,         0.00,        83.06,         0.00
pgain_kernel_pim__k1_Tahiti1, 6, 11207, 0, {  22016       1       1}, {  256     1     1},         0.43511, 1024, 7, 22, 0, NA,       344.00,      2322.95,       332.70,       323.48,        17.97,         2.98,       318.51,        77.90,         6.15,         1.76,     22622.12,         9.92,        15.50,         0.18,         0.00,         0.00,        73.47,         0.00
pgain_kernel_pim__k1_Tahiti1, 7, 11208, 0, {  22016       1       1}, {  256     1     1},         0.42444, 1024, 7, 22, 0, NA,       344.00,      2333.50,       334.25,       325.00,        18.00,         3.00,       320.00,        78.16,         6.47,         1.85,     22719.56,         3.59,        16.65,         0.03,         0.00,         0.00,       144.56,         0.00
pgain_kernel_pim__k1_Tahiti1, 8, 11209, 0, {  22016       1       1}, {  256     1     1},         0.47570, 1024, 7, 22, 0, NA,       344.00,      2333.50,       334.25,       325.00,        18.00,         3.00,       320.00,        78.16,         5.78,         1.65,     22758.62,        10.00,        18.39,         0.04,         0.02,         0.00,        91.22,         0.00
pgain_kernel_pim__k1_Tahiti1, 9, 11210, 0, {  22016       1       1}, {  256     1     1},         0.46489, 1024, 7, 22, 0, NA,       344.00,      2322.95,       332.70,       323.48,        17.97,         2.98,       318.51,        77.90,         5.98,         1.71,     22573.88,        10.00,        13.51,         0.05,         0.02,         0.00,        72.69,         0.00
pgain_kernel_pim__k1_Tahiti1, 10, 11211, 0, {  22016       1       1}, {  256     1     1},         0.45481, 1024, 7, 22, 0, NA,       344.00,      2333.50,       334.25,       325.00,        18.00,         3.00,       320.00,        78.17,         6.01,         1.72,     22747.62,         4.62,        16.06,         0.04,         0.03,         0.00,        84.06,         0.00
pgain_kernel_pim__k1_Tahiti1, 11, 11212, 0, {  22016       1       1}, {  256     1     1},         0.42059, 1024, 7, 22, 0, NA,       344.00,      2333.50,       334.25,       325.00,        18.00,         3.00,       320.00,        78.17,         6.46,         1.85,     23088.69,        11.58,        16.92,         0.05,         0.02,         0.00,        88.19,         0.00
pgain_kernel_pim__k1_Tahiti1, 12, 11213, 0, {  22016       1       1}, {  256     1     1},         0.45807, 1024, 7, 22, 0, NA,       344.00,      2322.95,       332.70,       323.48,        17.97,         2.98,       318.51,        77.91,         5.79,         1.65,     22580.75,        10.20,        12.72,         0.05,         0.03,         0.00,        80.41,         0.00
pgain_kernel_pim__k1_Tahiti1, 13, 11214, 0, {  22016       1       1}, {  256     1     1},         0.46504, 1024, 7, 22, 0, NA,       344.00,      2333.50,       334.25,       325.00,        18.00,         3.00,       320.00,        78.17,         5.98,         1.71,     22746.25,         4.67,        17.23,         0.04,         0.01,         0.00,        75.00,         0.00
pgain_kernel_pim__k1_Tahiti1, 14, 11215, 0, {  22016       1       1}, {  256     1     1},         0.48593, 1024, 7, 22, 0, NA,       344.00,      2333.50,       334.25,       325.00,        18.00,         3.00,       320.00,        78.17,         5.73,         1.64,     22764.12,        10.14,        18.17,         0.05,         0.03,         0.00,        80.88,         0.00
pgain_kernel_pim__k1_Tahiti1, 15, 11216, 0, {  22016       1       1}, {  256     1     1},         0.43600, 1024, 7, 22, 0, NA,       344.00,      2322.95,       332.70,       323.48,        17.97,         2.98,       318.51,        77.91,         6.27,         1.79,     22620.69,        10.07,        16.37,         0.23,         0.00,         0.00,        76.94,         0.00
pgain_kernel_pim__k1_Tahiti1, 16, 11217, 0, {  22016       1       1}, {  256     1     1},         0.45052, 1024, 7, 22, 0, NA,       344.00,      2333.50,       334.25,       325.00,        18.00,         3.00,       320.00,        78.17,         6.07,         1.73,     22744.44,         4.72,        17.15,         0.05,         0.00,         0.00,        54.75,         0.00
pgain_kernel_pim__k1_Tahiti1, 17, 11218, 0, {  22016       1       1}, {  256     1     1},         0.48622, 1024, 7, 22, 0, NA,       344.00,      2333.50,       334.25,       325.00,        18.00,         3.00,       320.00,        78.17,         5.72,         1.64,     22763.00,        10.17,        17.58,         0.05,         0.03,         0.00,        78.72,         0.00
pgain_kernel_pim__k1_Tahiti1, 18, 11219, 0, {  22016       1       1}, {  256     1     1},         0.44104, 1024, 7, 22, 0, NA,       344.00,      2322.95,       332.70,       323.48,        17.97,         2.98,       318.51,        77.92,         6.14,         1.75,     22621.88,        10.09,        15.63,         0.16,         0.00,         0.00,       218.97,         0.00
pgain_kernel_pim__k1_Tahiti1, 19, 11220, 0, {  22016       1       1}, {  256     1     1},         0.45526, 1024, 7, 22, 0, NA,       344.00,      2333.50,       334.25,       325.00,        18.00,         3.00,       320.00,        78.17,         5.96,         1.70,     22749.50,         4.93,        15.78,         0.05,         0.02,         0.00,        83.50,         0.00
pgain_kernel_pim__k1_Tahiti1, 20, 11221, 0, {  22016       1       1}, {  256     1     1},         0.43422, 1024, 7, 22, 0, NA,       344.00,      2333.50,       334.25,       325.00,        18.00,         3.00,       320.00,        78.17,         6.35,         1.81,     23042.88,        11.55,        17.22,         0.05,         0.03,         0.00,        80.88,         0.00
pgain_kernel_pim__k1_Tahiti1, 21, 11222, 0, {  22016       1       1}, {  256     1     1},         0.46474, 1024, 7, 22, 0, NA,       344.00,      2322.95,       332.70,       323.48,        17.97,         2.98,       318.51,        77.91,         5.72,         1.64,     22578.38,        10.25,        12.85,         0.05,         0.02,         0.00,        76.03,         0.00
pgain_kernel_pim__k1_Tahiti1, 22, 11223, 0, {  22016       1       1}, {  256     1     1},         0.45422, 1024, 7, 22, 0, NA,       344.00,      2333.50,       334.25,       325.00,        18.00,         3.00,       320.00,        78.17,         6.07,         1.73,     22750.88,         4.58,        17.51,         0.05,         0.02,         0.00,        70.38,         0.00
pgain_kernel_pim__k1_Tahiti1, 23, 11224, 0, {  22016       1       1}, {  256     1     1},         0.46474, 1024, 7, 22, 0, NA,       344.00,      2333.50,       334.25,       325.00,        18.00,         3.00,       320.00,        78.17,         5.95,         1.70,     22766.56,        10.19,        14.39,         0.06,         0.02,         0.00,        91.75,         0.00
pgain_kernel_pim__k1_Tahiti1, 24, 11225, 0, {  22016       1       1}, {  256     1     1},         0.43778, 1024, 7, 22, 0, NA,       344.00,      2322.95,       332.70,       323.48,        17.97,         2.98,       318.51,        77.91,         6.23,         1.78,     22771.31,        11.22,        16.49,         0.05,         0.01,         0.00,        83.56,         0.00
pgain_kernel_pim__k1_Tahiti1, 25, 11226, 0, {  22016       1       1}, {  256     1     1},         0.42904, 1024, 7, 22, 0, NA,       344.00,      2333.50,       334.25,       325.00,        18.00,         3.00,       320.00,        78.17,         6.39,         1.82,     22720.94,         3.51,        16.52,         0.03,         0.00,         0.00,       142.91,         0.00
pgain_kernel_pim__k1_Tahiti1, 26, 11227, 0, {  22016       1       1}, {  256     1     1},         0.47585, 1024, 7, 22, 0, NA,       344.00,      2333.50,       334.25,       325.00,        18.00,         3.00,       320.00,        78.17,         5.58,         1.60,     22764.00,        10.29,        17.88,         0.07,         0.00,         0.00,        74.28,         0.00
pgain_kernel_pim__k1_Tahiti1, 27, 11228, 0, {  22016       1       1}, {  256     1     1},         0.46652, 1024, 7, 22, 0, NA,       344.00,      2322.95,       332.70,       323.48,        17.97,         2.98,       318.51,        77.92,         5.80,         1.66,     22578.50,        10.30,        13.40,         0.07,         0.00,         0.00,        66.59,         0.00
pgain_kernel_pim__k1_Tahiti1, 28, 11229, 0, {  22016       1       1}, {  256     1     1},         0.45630, 1024, 7, 22, 0, NA,       344.00,      2333.50,       334.25,       325.00,        18.00,         3.00,       320.00,        78.16,         5.96,         1.70,     22737.12,         4.86,        15.71,         0.05,         0.02,         0.00,        67.69,         0.00
pgain_kernel_pim__k1_Tahiti1, 29, 11230, 0, {  22016       1       1}, {  256     1     1},         0.41896, 1024, 7, 22, 0, NA,       344.00,      2333.50,       334.25,       325.00,        18.00,         3.00,       320.00,        78.16,         6.41,         1.83,     23009.44,        11.31,        17.29,         0.05,         0.04,         0.00,        91.72,         0.00
pgain_kernel_pim__k1_Tahiti1, 30, 11231, 0, {  22016       1       1}, {  256     1     1},         0.45807, 1024, 7, 22, 0, NA,       344.00,      2322.95,       332.70,       323.48,        17.97,         2.98,       318.51,        77.90,         5.96,         1.70,     22576.31,        10.08,        15.45,         0.05,         0.03,         0.00,        74.38,         0.00
pgain_kernel_pim__k1_Tahiti1, 31, 11232, 0, {  22016       1       1}, {  256     1     1},         0.46533, 1024, 7, 22, 0, NA,       344.00,      2333.50,       334.25,       325.00,        18.00,         3.00,       320.00,        78.17,         5.98,         1.71,     22734.75,         4.75,        17.54,         0.05,         0.00,         0.00,        53.06,         0.00
pgain_kernel_pim__k1_Tahiti1, 32, 11233, 0, {  22016       1       1}, {  256     1     1},         0.47526, 1024, 7, 22, 0, NA,       344.00,      2333.50,       334.25,       325.00,        18.00,         3.00,       320.00,        78.17,         5.72,         1.63,     22761.56,        10.19,        17.74,         0.05,         0.00,         0.00,        54.47,         0.00
pgain_kernel_pim__k1_Tahiti1, 33, 11234, 0, {  22016       1       1}, {  256     1     1},         0.43318, 1024, 7, 22, 0, NA,       344.00,      2322.95,       332.70,       323.48,        17.97,         2.98,       318.51,        77.92,         6.28,         1.79,     22621.06,         9.94,        15.92,         0.10,         0.00,         0.00,        62.34,         0.00
pgain_kernel_pim__k1_Tahiti1, 34, 11235, 0, {  22016       1       1}, {  256     1     1},         0.42785, 1024, 7, 22, 0, NA,       344.00,      2333.50,       334.25,       325.00,        18.00,         3.00,       320.00,        78.17,         6.29,         1.80,     22720.75,         3.59,        16.58,         0.03,         0.00,         0.00,       143.78,         0.00
pgain_kernel_pim__k1_Tahiti1, 35, 11236, 0, {  22016       1       1}, {  256     1     1},         0.46607, 1024, 7, 22, 0, NA,       344.00,      2333.50,       334.25,       325.00,        18.00,         3.00,       320.00,        78.16,         5.65,         1.61,     22765.44,        10.17,        18.39,         0.05,         0.03,         0.00,        91.34,         0.00
pgain_kernel_pim__k1_Tahiti1, 36, 11237, 0, {  22016       1       1}, {  256     1     1},         0.46474, 1024, 7, 22, 0, NA,       344.00,      2322.95,       332.70,       323.48,        17.97,         2.98,       318.51,        77.91,         5.85,         1.67,     22584.94,        10.26,        14.81,         0.06,         0.01,         0.00,       259.38,         0.00
pgain_kernel_pim__k1_Tahiti1, 37, 11238, 0, {  22016       1       1}, {  256     1     1},         0.45615, 1024, 7, 22, 0, NA,       344.00,      2333.50,       334.25,       325.00,        18.00,         3.00,       320.00,        78.17,         5.97,         1.71,     22746.50,         4.58,        17.70,         0.04,         0.02,         0.00,        75.84,         0.00
pgain_kernel_pim__k1_Tahiti1, 38, 11239, 0, {  22016       1       1}, {  256     1     1},         0.46459, 1024, 7, 22, 0, NA,       344.00,      2333.50,       334.25,       325.00,        18.00,         3.00,       320.00,        78.17,         5.92,         1.69,     22763.19,        10.23,        14.79,         0.06,         0.02,         0.00,        88.62,         0.00
pgain_kernel_pim__k1_Tahiti1, 39, 11240, 0, {  22016       1       1}, {  256     1     1},         0.44474, 1024, 7, 22, 0, NA,       344.00,      2322.95,       332.70,       323.48,        17.97,         2.98,       318.51,        77.91,         5.98,         1.71,     22785.44,        11.33,        16.15,         0.07,         0.00,         0.00,        80.91,         0.00
pgain_kernel_pim__k1_Tahiti1, 40, 11241, 0, {  22016       1       1}, {  256     1     1},         0.46489, 1024, 7, 22, 0, NA,       344.00,      2333.50,       334.25,       325.00,        18.00,         3.00,       320.00,        78.16,         5.98,         1.71,     22742.56,         4.55,        15.66,         0.04,         0.00,         0.00,        77.59,         0.00
pgain_kernel_pim__k1_Tahiti1, 41, 11242, 0, {  22016       1       1}, {  256     1     1},         0.42756, 1024, 7, 22, 0, NA,       344.00,      2333.50,       334.25,       325.00,        18.00,         3.00,       320.00,        78.16,         6.30,         1.80,     23001.06,        11.14,        16.46,         0.08,         0.00,         0.00,        87.56,         0.00
pgain_kernel_pim__k1_Tahiti1, 42, 11243, 0, {  22016       1       1}, {  256     1     1},         0.46726, 1024, 7, 22, 0, NA,       344.00,      2322.95,       332.70,       323.48,        17.97,         2.98,       318.51,        77.90,         5.82,         1.66,     22575.25,        10.19,        12.98,         0.06,         0.01,         0.00,        73.38,         0.00
pgain_kernel_pim__k1_Tahiti1, 43, 11244, 0, {  22016       1       1}, {  256     1     1},         0.44785, 1024, 7, 22, 0, NA,       344.00,      2333.50,       334.25,       325.00,        18.00,         3.00,       320.00,        78.16,         6.11,         1.75,     22746.06,         4.66,        17.51,         0.04,         0.03,         0.00,        72.97,         0.00
pgain_kernel_pim__k1_Tahiti1, 44, 11245, 0, {  22016       1       1}, {  256     1     1},         0.47541, 1024, 7, 22, 0, NA,       344.00,      2333.50,       334.25,       325.00,        18.00,         3.00,       320.00,        78.16,         5.65,         1.61,     22764.88,        10.27,        17.32,         0.07,         0.03,         0.00,        93.59,         0.00
pgain_kernel_pim__k1_Tahiti1, 45, 11246, 0, {  22016       1       1}, {  256     1     1},         0.43052, 1024, 7, 22, 0, NA,       344.00,      2322.95,       332.70,       323.48,        17.97,         2.98,       318.51,        77.91,         6.25,         1.79,     22614.44,        10.01,        16.46,         0.14,         0.00,         0.00,        66.62,         0.00
pgain_kernel_pim__k1_Tahiti1, 46, 11247, 0, {  22016       1       1}, {  256     1     1},         0.46533, 1024, 7, 22, 0, NA,       344.00,      2333.50,       334.25,       325.00,        18.00,         3.00,       320.00,        78.16,         6.03,         1.72,     22745.88,         4.64,        15.84,         0.05,         0.05,         0.00,        85.53,         0.00
pgain_kernel_pim__k1_Tahiti1, 47, 11248, 0, {  22016       1       1}, {  256     1     1},         0.42711, 1024, 7, 22, 0, NA,       344.00,      2333.50,       334.25,       325.00,        18.00,         3.00,       320.00,        78.16,         6.30,         1.80,     23087.31,        11.04,        16.45,         0.04,         0.00,         0.00,        63.53,         0.00
pgain_kernel_pim__k1_Tahiti1, 48, 11249, 0, {  22016       1       1}, {  256     1     1},         0.47496, 1024, 7, 22, 0, NA,       344.00,      2322.95,       332.70,       323.48,        17.97,         2.98,       318.51,        77.91,         5.86,         1.67,     22583.81,        10.20,        12.96,         0.05,         0.02,         0.00,        80.50,         0.00
pgain_kernel_pim__k1_Tahiti1, 49, 11250, 0, {  22016       1       1}, {  256     1     1},         0.45807, 1024, 7, 22, 0, NA,       344.00,      2333.50,       334.25,       325.00,        18.00,         3.00,       320.00,        78.17,         5.98,         1.71,     22742.44,         4.68,        17.18,         0.06,         0.00,         0.00,        72.16,         0.00
pgain_kernel_pim__k1_Tahiti1, 50, 11251, 0, {  22016       1       1}, {  256     1     1},         0.46859, 1024, 7, 22, 0, NA,       344.00,      2333.50,       334.25,       325.00,        18.00,         3.00,       320.00,        78.17,         5.74,         1.64,     22763.81,        10.19,        17.17,         0.05,         0.02,         0.00,        74.28,         0.00
